Rose Roché vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
90,Bellsprout,-12,-18,-52,10,-48,-20,5976
91,Weepinbell,3,-3,-37,25,-33,-5,3126
92,Victreebel,18,12,-22,40,-8,10,2716
93,Tentacool,-22,-53,-52,-10,22,10,6681
94,Tentacruel,18,-23,-22,20,42,40,5101
95,Geodude,-22,-13,13,-30,-48,-40,5626
96,Geodude (Alolan Geodude),-22,-13,13,-30,-48,-40,5626
97,Graveler,-7,2,28,-15,-33,-25,2776
98,Graveler (Alolan Graveler),-7,2,28,-15,-33,-25,2776
99,Golem,18,27,43,-5,-13,-15,3321
100,Golem (Alolan Golem),18,27,43,-5,-13,-15,3321
101,Ponyta,-12,-8,-32,5,-13,30,2326
102,Ponyta (Galarian Ponyta),-12,-8,-32,5,-13,30,2326
103,Rapidash,3,7,-17,20,2,45,2776
104,Rapidash (Galarian Rapidash),3,7,-17,20,2,45,2776
105,Slowpoke,28,-28,-22,-20,-38,-45,5921
106,Slowpoke (Galarian Slowpoke),28,-28,-22,-20,-38,-45,5921
107,Slowbro,33,-18,23,40,2,-30,4446
108,Slowbro (Mega Slowbro),33,-18,93,70,2,-30,15866
109,Slowbro (Galarian Slowbro),33,7,8,40,-8,-30,3766
110,Magnemite,-37,-58,-17,35,-23,-15,7001
111,Magneton,-12,-33,8,60,-8,10,5061
112,Farfetch'd,-10,-3,-32,-2,-16,0,1393
113,Farfetch'd (Galarian Farfetch'd),-10,2,-32,-2,-16,-5,1413
114,Doduo,-27,-8,-42,-25,-43,15,5256
115,Dodrio,-2,17,-17,0,-18,50,3406
116,Seel,3,-48,-32,-15,-8,-15,3851
117,Dewgong,28,-23,-7,10,17,10,1851
118,Grimer,18,-13,-37,-20,-28,-35,4271
119,Grimer (Alolan Grimer),18,-13,-37,-20,-28,-35,4271
120,Muk,43,12,-12,5,22,-10,2746
121,Muk (Alolan Muk),43,12,-12,5,22,-10,2746
122,Shellder,-32,-28,13,-15,-53,-20,5411
123,Cloyster,-12,2,93,25,-33,10,10611
124,Gastly,-32,-58,-57,40,-43,20,11486
125,Haunter,-17,-43,-42,55,-23,35,8681
126,Gengar,-2,-28,-27,70,-3,50,8926
127,Gengar (Mega Gengar),-2,-28,-7,110,17,70,18126
128,Onix,-27,-48,73,-30,-33,10,10451
129,Drowzee,-2,-45,-42,-17,12,-18,4550
130,Hypno,23,-20,-17,13,37,7,2805
131,Krabby,-32,12,3,-35,-53,-10,5311
132,Kingler,-7,37,28,-10,-28,15,3311
133,Voltorb,-22,-63,-37,-5,-23,40,7976
134,Voltorb (Hisuian Voltorb),-22,-63,-37,-5,-23,40,7976
135,Electrode,-2,-43,-17,20,2,90,10646
136,Electrode (Hisuian Electrode),-2,-43,-17,20,2,90,10646
137,Exeggcute,-2,-53,-7,0,-33,-20,4351
138,Exeggutor,33,2,-2,65,-3,-5,5356
139,Exeggutor (Alolan Exeggutor),33,12,-2,65,-3,-15,5696
140,Cubone,-12,-43,8,-20,-28,-25,3866
141,Marowak,-2,-13,23,-10,2,-15,1031
142,Marowak (Alolan Marowak),-2,-13,23,-10,2,-15,1031
143,Hitmonlee,-12,27,-34,-25,32,27,4407
144,Hitmonchan,-12,12,-8,-25,32,16,2257
145,Lickitung,28,-38,-12,0,-3,-30,3281
146,Koffing,-22,-28,8,0,-33,-25,3046
147,Weezing,3,-3,33,25,-8,0,1796
148,Weezing (Galarian Weezing),3,-3,33,25,-8,0,1796
149,Rhyhorn,18,-8,8,-30,-48,-35,4881
150,Rhydon,43,37,33,-15,-33,-20,6021
151,Chansey,188,-88,-82,-25,27,-10,51266
152,Tangela,3,-38,28,40,-38,0,5281
153,Kangaskhan,43,2,-7,-20,2,30,3206
154,Kangaskhan (Mega Kangaskhan),43,32,13,0,22,40,5126
155,Horsea,-32,-53,-17,10,-53,0,7031
156,Seadra,-7,-28,8,35,-33,25,3836
157,Goldeen,-17,-26,-27,-25,-28,3,3112
158,Seaking,18,-1,-22,5,2,8,902
159,Staryu,-32,-48,-32,10,-23,25,5606
160,Starmie,-2,-18,-2,40,7,55,5006
161,Mr. Mime,-22,-48,-22,40,42,30,7536
162,Mr. Mime (Galarian Mr. Mime),-12,-28,-22,30,12,40,4056
163,Scyther,8,17,-7,-5,2,45,2456
164,Jynx,3,-43,-52,55,17,35,9101
165,Electabuzz,3,-10,-30,35,7,45,4308
166,Magmar,3,2,-30,40,7,33,3651
167,Pinsir,3,32,13,-5,-8,25,1916
168,Pinsir (Mega Pinsir),3,62,33,5,12,45,7136
169,Tauros,13,7,8,-20,-8,50,3246
170,Tauros (Paldean Tauros (Combat Breed)),13,17,18,-30,-8,40,3346
171,Tauros (Paldean Tauros (Blaze Breed)),13,17,18,-30,-8,40,3346
172,Tauros (Paldean Tauros (Aqua Breed)),13,17,18,-30,-8,40,3346
173,Magikarp,-42,-83,-32,-45,-58,20,15466
174,Gyarados,33,32,-8,0,22,21,3102
175,Gyarados (Mega Gyarados),33,62,22,10,52,21,8662
176,Lapras,68,-8,-7,25,17,0,5651
177,Ditto,-14,-45,-39,-12,-30,-12,4930
178,Eevee,-7,-38,-37,-15,-13,-5,3281
179,Eevee (Partner Eevee),3,-18,-17,5,7,15,921
180,Vaporeon,68,-28,-27,50,17,5,8951
181,Jolteon,3,-28,-27,50,17,70,9211
182,Flareon,3,37,-27,35,32,5,4381
183,Porygon,3,-33,-17,25,-3,-20,2421
184,Omanyte,-27,-53,13,30,-23,-25,5761
185,Omastar,8,-33,38,55,-8,-5,5711
186,Kabuto,-32,-13,3,-5,-33,-5,2341
187,Kabutops,-2,22,18,5,-8,20,1301
188,Aerodactyl,18,12,-22,0,-3,70,5861
189,Aerodactyl (Mega Aerodactyl),18,42,-2,10,17,90,10581
190,Snorlax,98,17,-22,5,32,-30,12326
191,Articuno,28,-8,13,35,47,25,5076
192,Articuno (Galarian Articuno),28,-8,-2,65,22,35,6786
193,Zapdos,28,-3,-2,65,12,40,6766
194,Zapdos (Galarian Zapdos),28,32,3,25,12,40,4186
195,Moltres,28,7,3,65,7,30,6016
196,Moltres (Galarian Moltres),28,-8,3,40,47,30,5566
197,Dratini,-21,-29,-42,-10,-28,-10,4030
198,Dragonair,-1,-9,-22,10,-8,10,830
199,Dragonite,29,41,8,40,22,20,5070
200,Mewtwo,44,17,3,94,12,70,16114
201,Mewtwo (Mega Mewtwo X),44,97,13,94,22,70,25734
202,Mewtwo (Mega Mewtwo Y),44,57,-17,134,42,80,31594
203,Mew,38,7,13,40,22,40,5346
204,Chikorita,-17,-44,-22,-11,-13,-15,3224
205,Bayleef,-2,-31,-7,3,2,0,1027
206,Meganium,18,-11,13,23,22,20,2027
207,Cyndaquil,-23,-41,-44,0,-28,5,4955
208,Quilava,-4,-29,-29,20,-13,20,2667
209,Typhlosion,16,-9,-9,49,7,40,4468
210,Typhlosion (Hisuian Typhlosion),11,-9,-9,59,7,35,5038
211,Totodile,-12,-28,-23,-16,-30,-17,2902
212,Croconaw,3,-13,-7,-1,-15,-2,457
213,Feraligatr,23,12,13,19,5,18,1552
214,Sentret,-27,-47,-53,-25,-33,-40,9061
215,Furret,23,-17,-23,-15,-23,30,3001
216,Hoothoot,-2,-63,-57,-24,-22,-10,8382
217,Noctowl,38,-43,-37,26,18,10,5762
218,Ledyba,-22,-73,-57,-20,2,-5,9491
219,Ledian,-7,-58,-37,-5,32,25,6456
220,Spinarak,-22,-33,-47,-20,-38,-30,6526
221,Ariados,8,-3,-17,0,-8,-20,826
222,Crobat,23,-3,-7,10,2,70,5591
223,Chinchou,13,-55,-49,-4,-22,7,6144
224,Lanturn,63,-35,-29,16,-2,7,6344
225,Pichu,-42,-53,-72,-25,-43,0,12231
226,Cleffa,-12,-68,-59,-15,-23,-45,11028
227,Igglybuff,28,-63,-72,-20,-58,-45,15726
228,Togepi,-27,-73,-22,-20,-13,-40,8711
229,Togetic,-7,-53,-2,20,27,-20,4391
230,Natu,-22,-43,-42,10,-33,10,5386
231,Xatu,3,-18,-17,35,-8,35,3136
232,Mareep,-7,-53,-47,5,-33,-25,6806
233,Flaaffy,8,-38,-32,20,-18,-15,3481
234,Ampharos,28,-18,-2,55,12,-5,4306
235,Ampharos (Mega Ampharos),28,2,18,105,32,-15,13386
236,Bellossom,13,-13,8,30,22,-10,1886
237,Marill,8,-73,-37,-40,-28,-20,9546
238,Azumarill,38,-43,-7,0,2,-10,3446
239,Sudowoodo,8,7,28,-30,-13,-30,2866
240,Politoed,28,-18,-12,30,22,10,2736
241,Hoppip,-27,-58,-47,-25,-23,-10,7556
242,Skiploom,-7,-48,-37,-15,-13,20,4516
243,Jumpluff,13,-38,-17,-5,17,50,4716
244,Aipom,-7,-23,-32,-20,-23,25,3156
245,Sunkern,-32,-63,-57,-30,-48,-30,12346
246,Sunflora,13,-18,-32,45,7,-30,4491
247,Yanma,3,-28,-42,15,-33,35,5096
248,Wooper,-7,-48,-42,-35,-53,-45,10176
249,Wooper (Paldean Wooper),-7,-48,-42,-35,-53,-45,10176
250,Quagsire,33,-8,-2,5,-13,-25,1976
251,Espeon,3,-28,-27,70,17,50,9211
252,Umbreon,33,-28,23,0,52,5,5131
253,Murkrow,-2,-8,-45,25,-36,31,4975
254,Slowking,33,-18,-7,40,32,-30,4986
255,Slowking (Galarian Slowking),33,-28,-7,50,32,-30,6346
256,Misdreavus,-2,-33,-27,25,7,25,3121
257,Unown,-14,-21,-39,12,-30,-12,3346
258,Wobbuffet,128,-60,-29,-27,-20,-27,22683
259,Girafarig,8,-13,-22,30,-13,25,2411
260,Pineco,-12,-28,3,-25,-43,-45,5436
261,Forretress,13,-3,53,0,-18,-20,3711
262,Dunsparce,38,-23,-17,5,-13,-15,2681
263,Gligar,3,-18,18,-25,-13,25,2076
264,Steelix,13,-8,113,-5,-13,-30,14096
265,Steelix (Mega Steelix),13,32,143,-5,17,-30,22856
266,Snubbull,-2,-13,-37,-20,-38,-30,4286
267,Granbull,28,27,-12,0,-18,-15,2206
268,Qwilfish,3,2,-2,-5,-23,25,1196
269,Qwilfish (Hisuian Qwilfish),3,2,-2,-5,-23,25,1196
270,Scizor,8,37,13,-5,2,5,1656
271,Scizor (Mega Scizor),8,57,53,5,22,15,6856
272,Shuckle,-42,-83,143,-50,152,-55,57731
273,Heracross,18,32,-12,-20,17,25,2806
274,Heracross (Mega Heracross),18,92,28,-20,27,15,10926
275,Sneasel,-7,2,-32,-25,-3,55,4736
276,Sneasel (Hisuian Sneasel),-7,2,-32,-25,-3,55,4736
277,Teddiursa,-2,-13,-37,-10,-28,-20,2826
278,Ursaring,28,37,-12,15,-3,-5,2556
279,Slugma,-22,-53,-47,10,-38,-40,8646
280,Magcargo,-2,-43,33,30,2,-30,4746
281,Swinub,-12,-43,-47,-30,-48,-10,7506
282,Piloswine,38,7,-7,0,-18,-10,1966
283,Corsola,3,-38,8,5,17,-25,2456
284,Corsola (Galarian Corsola),-2,-38,13,5,22,-30,3026
285,Remoraid,-27,-28,-52,5,-43,5,6116
286,Octillery,13,12,-12,45,-3,-15,2716
287,Delibird,-17,-38,-42,5,-33,15,4836
288,Mantine,23,-53,-17,20,62,10,7971
289,Skarmory,3,-13,53,-20,-8,10,3551
290,Houndour,-17,-33,-57,20,-28,5,5836
291,Houndoom,13,-3,-37,50,2,35,5276
292,Houndoom (Mega Houndoom),13,-3,3,80,12,55,9756
293,Kingdra,13,2,8,35,17,25,2376
294,Phanpy,28,-33,-27,-20,-38,-20,4846
295,Donphan,28,27,33,0,-18,-10,3026
296,Porygon2,23,-13,3,45,17,0,3021
297,Stantler,11,2,-25,25,-13,25,2169
298,Smeargle,-7,-73,-52,-40,-33,15,10996
299,Tyrogue,-27,-58,-52,-25,-43,-25,9896
300,Hitmontop,-12,2,8,-25,32,10,1961
301,Smoochum,-17,-63,-72,25,-13,5,10261
302,Elekid,-17,-30,-50,5,-23,35,5468
303,Magby,-17,-18,-50,10,-23,23,4271
304,Miltank,33,-13,18,-20,-8,40,3646
305,Blissey,193,-83,-77,15,57,-5,53566
306,Raikou,28,-8,-12,55,22,55,7526
307,Entei,53,22,-2,30,-3,40,5806
308,Suicune,38,-18,28,30,37,25,5446
309,Larvitar,-12,-29,-37,-15,-28,-19,3724
310,Pupitar,8,-9,-17,5,-8,-9,604
311,Tyranitar,38,41,23,35,22,1,5364
312,Tyranitar (Mega Tyranitar),38,71,63,35,42,11,13564
313,Lugia,44,-3,43,30,76,50,12970
314,Ho-Oh,44,37,3,50,76,30,12490
315,Celebi,38,7,13,40,22,40,5346
316,Treecko,-22,-48,-52,5,-23,10,6146
317,Grovyle,-12,-28,-42,25,-13,35,4711
318,Sceptile,8,-8,-22,45,7,60,6286
319,Sceptile (Mega Sceptile),8,17,-12,85,7,85,14996
320,Torchic,-17,-33,-47,10,-28,-15,4696
321,Combusken,-2,-8,-27,25,-18,-5,1771
322,Blaziken,18,27,-17,50,-8,20,4306
323,Blaziken (Mega Blaziken),18,67,-7,70,2,40,11366
324,Mudkip,-12,-23,-37,-10,-28,-20,3326
325,Marshtomp,8,-8,-17,0,-8,-10,581
326,Swampert,38,17,3,25,12,0,2511
327,Swampert (Mega Swampert),38,57,23,35,32,10,7571
328,Poochyena,-27,-38,-52,-30,-48,-25,8706
329,Mightyena,8,-3,-17,0,-18,10,786
330,Zigzagoon,-24,-63,-46,-30,-37,0,8930
331,Zigzagoon (Galarian Zigzagoon),-24,-63,-46,-30,-37,0,8930
332,Linoone,16,-23,-26,-10,-17,40,3450
333,Linoone (Galarian Linoone),16,-23,-26,-10,-17,40,3450
334,Wurmple,-17,-48,-52,-40,-48,-40,10801
335,Silcoon,-12,-58,-32,-35,-53,-45,10591
336,Beautifly,-2,-23,-37,40,-28,5,4311
337,Cascoon,-12,-58,-32,-35,-53,-45,10591
338,Dustox,-2,-43,-17,-10,12,5,2411
339,Lotad,-22,-63,-57,-20,-28,-30,9786
340,Lombre,-2,-43,-37,0,-8,-10,3386
341,Ludicolo,18,-23,-17,30,22,10,2626
342,Seedot,-22,-53,-37,-30,-48,-30,8766
343,Nuzleaf,8,-23,-47,0,-38,0,4246
344,Shiftry,28,7,-27,30,-18,20,3186
345,Taillow,-22,-38,-57,-30,-48,25,9006
346,Swellow,-2,-8,-27,15,-28,65,6031
347,Wingull,-22,-63,-57,-5,-48,25,10656
348,Pelipper,-2,-43,13,35,-8,5,3336
349,Ralts,-34,-68,-62,-15,-43,-20,12098
350,Kirlia,-24,-58,-52,5,-23,-10,7298
351,Gardevoir,6,-28,-22,65,37,20,7298
352,Gardevoir (Mega Gardevoir),6,-8,-22,105,57,40,16458
353,Surskit,-22,-63,-55,-10,-26,5,8279
354,Masquerain,8,-33,-25,40,4,20,3794
355,Shroomish,-2,-53,-27,-20,-18,-25,4891
356,Breloom,-2,37,-7,0,-18,10,1846
357,Slakoth,-2,-33,-27,-25,-43,-30,5196
358,Vigoroth,18,-13,-7,-5,-23,30,1996
359,Slaking,88,67,13,35,-13,40,15396
360,Nincada,-31,-48,3,-30,-48,-20,6878
361,Ninjask,-1,-3,-42,-10,-28,100,12658
362,Shedinja,-61,-3,-42,-30,-48,-20,9098
363,Whismur,2,-42,-64,-9,-55,-32,9994
364,Loudred,22,-22,-44,11,-35,-12,4394
365,Exploud,42,-2,-24,31,-5,8,3394
366,Makuhita,10,-33,-57,-40,-48,-35,9567
367,Hariyama,82,27,-27,-20,-18,-10,9006
368,Azurill,-12,-73,-47,-40,-38,-40,12326
369,Nosepass,-32,-48,48,-15,12,-30,6901
370,Skitty,-12,-48,-42,-25,-43,-10,6786
371,Delcatty,8,-28,-22,-5,-23,30,2786
372,Sableye,-12,-18,-12,5,-13,-10,906
373,Sableye (Mega Sableye),-12,-8,38,25,37,-40,5246
374,Mawile,-12,-8,-2,-5,-23,-10,866
375,Mawile (Mega Mawile),-12,12,38,-5,17,-10,2146
376,Aron,-12,-23,13,-20,-38,-30,3586
377,Lairon,-2,-3,53,-10,-28,-20,4106
378,Aggron,8,17,93,0,-18,-10,9426
379,Aggron (Mega Aggron),8,47,143,0,2,-10,22826
380,Meditite,-32,-53,-32,-20,-23,0,5786
381,Medicham,-2,-33,-12,0,-3,20,1646
382,Medicham (Mega Medicham),-2,7,-2,20,7,40,2106
383,Electrike,-22,-48,-47,5,-38,5,6491
384,Manectric,8,-18,-27,45,-18,45,5491
385,Manectric (Mega Manectric),8,-18,-7,75,2,75,11691
386,Plusle,-2,-43,-47,25,-3,35,5921
387,Minun,-2,-53,-37,15,7,35,5681
388,Volbeat,3,-20,-12,-13,7,25,1396
389,Illumise,3,-46,-12,13,7,25,3112
390,Roselia,-12,-33,-42,40,2,5,4626
391,Gulpin,8,-50,-34,-17,-25,-20,5034
392,Swalot,38,-20,-4,13,5,-5,2079
393,Carvanha,-17,-3,-67,5,-58,5,8201
394,Sharpedo,8,27,-47,35,-38,35,6896
395,Sharpedo (Mega Sharpedo),8,47,-17,50,-13,45,7256
396,Wailmer,68,-23,-52,10,-43,0,9806
397,Wailord,108,-3,-42,30,-33,0,15426
398,Numel,-2,-33,-47,5,-33,-25,5041
399,Camerupt,8,7,-17,45,-3,-20,2836
400,Camerupt (Mega Camerupt),8,27,13,85,27,-40,10516
401,Torkoal,8,-8,53,25,-8,-40,5226
402,Spoink,-2,-68,-52,10,2,0,7436
403,Grumpig,18,-48,-22,30,32,20,5436
404,Spinda,-2,-33,-27,0,-18,0,2146
405,Trapinch,-17,7,-42,-15,-33,-50,5916
406,Vibrava,-12,-23,-37,-10,-28,10,3026
407,Flygon,18,7,-7,20,2,40,2426
408,Cacnea,-12,-8,-47,25,-38,-25,5111
409,Cacturne,8,22,-27,55,-18,-5,4651
410,Swablu,-17,-53,-27,-20,-3,-10,4336
411,Altaria,13,-23,3,10,27,20,1936
412,Altaria (Mega Altaria),13,17,23,50,27,20,4616
413,Zangoose,11,22,-27,0,-18,30,2558
414,Seviper,11,7,-27,40,-18,5,2848
415,Lunatone,28,-38,-22,35,7,10,4086
416,Solrock,28,2,-2,-5,-13,10,1086
417,Barboach,-12,-45,-44,-14,-37,0,5670
418,Whiscash,48,-15,-14,16,-7,0,3030
419,Corphish,-19,-13,-22,-10,-43,-25,3588
420,Crawdaunt,1,27,-2,30,-23,-5,2188
421,Baltoy,-22,-53,-32,-20,-8,-5,4806
422,Claydol,-2,-23,18,10,42,15,2946
423,Lileep,4,-52,-10,1,9,-37,4271
424,Cradily,24,-12,10,21,29,-17,2391
425,Anorith,-17,2,-37,-20,-28,15,3071
426,Armaldo,13,32,13,10,2,-15,1691
427,Feebas,-42,-78,-67,-50,-23,20,15766
428,Milotic,33,-33,-8,40,47,21,6492
429,Castform,8,-23,-17,10,-8,10,1146
430,Kecleon,-2,-3,-17,0,42,-20,2466
431,Shuppet,-18,-18,-52,3,-45,-15,5611
432,Banette,2,22,-22,23,-15,5,1751
433,Banette (Mega Banette),2,72,-12,33,5,15,6671
434,Duskull,-42,-53,3,-30,12,-35,6851
435,Dusclops,-22,-23,43,0,52,-35,6791
436,Tropius,37,-25,-4,12,9,-9,2316
437,Chimecho,13,-43,-7,35,12,5,3461
438,Absol,3,37,-27,15,-18,15,2881
439,Absol (Mega Absol),3,57,-27,55,-18,55,10361
440,Wynaut,33,-70,-39,-37,-30,-37,11148
441,Snorunt,-12,-43,-37,-10,-28,-10,4346
442,Glalie,18,-13,-7,20,2,20,1346
443,Glalie (Mega Glalie),18,27,-7,60,2,40,6306
444,Spheal,8,-53,-37,-5,-28,-35,6276
445,Sealeo,28,-33,-17,15,-8,-15,2676
446,Walrein,48,-13,3,35,12,5,3876
447,Clamperl,-27,-29,-2,14,-23,-28,3083
448,Huntail,-7,11,18,34,-3,-8,1723
449,Gorebyss,-7,-9,18,54,-3,-8,3443
450,Relicanth,38,-3,43,-15,-13,-5,3721
451,Luvdisc,-19,-63,-32,-20,-13,37,7292
452,Bagon,-17,-18,-27,-20,-48,-10,4146
453,Shelgon,3,2,13,0,-28,-10,1066
454,Salamence,33,42,-7,50,2,40,7006
455,Salamence (Mega Salamence),33,52,43,60,12,60,12986
456,Beldum,-22,-38,-7,-25,-18,-30,3826
457,Metang,-2,-18,13,-5,2,-10,626
458,Metagross,18,42,43,35,12,10,5406
459,Metagross (Mega Metagross),18,52,63,45,32,50,12546
460,Regirock,18,7,113,-10,22,-10,13826
461,Regice,18,-43,13,40,122,-10,18926
462,Registeel,18,-18,63,15,72,-10,10126
463,Latias,18,-13,3,50,52,50,8206
464,Latias (Mega Latias),18,7,33,80,72,50,15546
465,Latios,18,-3,-7,70,32,50,8806
466,Latios (Mega Latios),18,37,13,100,42,50,16126
467,Kyogre,38,7,3,90,62,30,14346
468,Kyogre (Primal Kyogre),38,57,3,120,82,30,26726
469,Groudon,38,57,53,40,12,30,10146
470,Groudon (Primal Groudon),38,87,73,90,12,30,23486
471,Rayquaza,43,57,3,90,12,35,14576
472,Rayquaza (Mega Rayquaza),43,87,13,120,22,55,27496
473,Jirachi,38,7,13,40,22,40,5346
474,Deoxys (Normal Forme),-12,57,-37,90,-28,90,21746
475,Deoxys (Attack Forme),-12,87,-67,120,-58,90,38066
476,Deoxys (Defense Forme),-12,-23,73,10,82,30,13726
477,Deoxys (Speed Forme),-12,2,3,35,12,120,15926
478,Turtwig,-7,-25,-23,-15,-23,-29,2798
479,Grotle,13,-4,-2,-5,-13,-24,959
480,Torterra,33,16,18,15,7,-4,1959
481,Chimchar,-18,-35,-43,-2,-34,1,4559
482,Monferno,2,-15,-35,18,-26,21,2895
483,Infernape,14,11,-16,44,-7,48,4862
484,Piplup,-9,-42,-34,1,-22,-20,3886
485,Prinplup,2,-27,-19,21,-2,-10,1639
486,Empoleon,22,-7,1,51,23,0,3664
487,Starly,-22,-38,-57,-30,-48,0,8381
488,Staravia,-7,-18,-37,-20,-38,20,3986
489,Staraptor,23,27,-17,-10,-18,40,3571
490,Bidoof,-3,-48,-47,-25,-38,-29,7432
491,Bibarel,17,-8,-27,-5,-18,11,1552
492,Kricketot,-25,-68,-46,-35,-37,-35,11184
493,Kricketune,15,-8,-36,-5,-27,5,2364
494,Shinx,-17,-28,-53,-20,-44,-15,6443
495,Luxio,-2,-8,-38,0,-29,0,2353
496,Luxray,18,27,-8,35,1,10,2443
497,Budew,-22,-63,-52,-10,-8,-5,7346
498,Roserade,-2,-23,-22,65,27,30,6871
499,Cranidos,5,32,-47,-30,-48,-2,6466
