Roman Ramirez vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
72,Psyduck,-38,-64,-72,-47,-53,2,15746
73,Golduck,-8,-34,-42,-17,-23,32,4826
74,Mankey,-48,-36,-85,-77,-58,17,20407
75,Primeape,-23,-11,-60,-52,-33,42,9807
76,Growlithe,-33,-46,-75,-42,-53,7,13452
77,Growlithe (Hisuian Growlithe),-28,-41,-75,-47,-53,2,13112
78,Arcanine,2,-6,-40,-12,-23,42,4077
79,Arcanine (Hisuian Arcanine),7,-1,-40,-17,-23,37,3837
80,Poliwag,-48,-66,-80,-72,-63,37,23582
81,Poliwhirl,-23,-51,-55,-62,-53,37,14177
82,Poliwrath,2,-21,-25,-42,-13,17,3292
83,Abra,-63,-96,-105,-7,-48,37,27932
84,Kadabra,-48,-81,-90,8,-33,52,20822
85,Alakazam,-33,-66,-75,23,-8,67,16152
86,Alakazam (Mega Alakazam),-33,-66,-55,63,2,97,21852
87,Machop,-18,-36,-70,-77,-68,-18,17397
88,Machoke,-8,-16,-50,-62,-43,-8,8577
89,Machamp,2,14,-40,-47,-18,2,4337
90,Bellsprout,-38,-41,-85,-42,-73,-13,17612
91,Weepinbell,-23,-26,-70,-27,-58,2,10202
92,Victreebel,-8,-11,-55,-12,-33,17,4732
93,Tentacool,-48,-76,-85,-62,-3,17,19447
94,Tentacruel,-8,-46,-55,-32,17,47,8727
95,Geodude,-48,-36,-20,-82,-73,-33,17142
96,Geodude (Alolan Geodude),-48,-36,-20,-82,-73,-33,17142
97,Graveler,-33,-21,-5,-67,-58,-18,9732
98,Graveler (Alolan Graveler),-33,-21,-5,-67,-58,-18,9732
99,Golem,-8,4,10,-57,-38,-8,4937
100,Golem (Alolan Golem),-8,4,10,-57,-38,-8,4937
101,Ponyta,-38,-31,-65,-47,-38,37,11652
102,Ponyta (Galarian Ponyta),-38,-31,-65,-47,-38,37,11652
103,Rapidash,-23,-16,-50,-32,-23,52,7542
104,Rapidash (Galarian Rapidash),-23,-16,-50,-32,-23,52,7542
105,Slowpoke,2,-51,-55,-72,-63,-38,16227
106,Slowpoke (Galarian Slowpoke),2,-51,-55,-72,-63,-38,16227
107,Slowbro,7,-41,-10,-12,-23,-23,3032
108,Slowbro (Mega Slowbro),7,-41,60,18,-23,-23,6712
109,Slowbro (Galarian Slowbro),7,-16,-25,-12,-33,-23,2692
110,Magnemite,-63,-81,-50,-17,-48,-8,15687
111,Magneton,-38,-56,-25,8,-33,17,6647
112,Farfetch'd,-36,-26,-65,-54,-41,7,10843
113,Farfetch'd (Galarian Farfetch'd),-36,-21,-65,-54,-41,2,10563
114,Doduo,-53,-31,-75,-77,-68,22,20432
115,Dodrio,-28,-6,-50,-52,-43,57,11122
116,Seel,-23,-71,-65,-67,-33,-8,15437
117,Dewgong,2,-46,-40,-42,-8,17,5837
118,Grimer,-8,-36,-70,-72,-53,-28,15037
119,Grimer (Alolan Grimer),-8,-36,-70,-72,-53,-28,15037
120,Muk,17,-11,-45,-47,-3,-3,4662
121,Muk (Alolan Muk),17,-11,-45,-47,-3,-3,4662
122,Shellder,-58,-51,-20,-67,-78,-13,17107
123,Cloyster,-38,-21,60,-27,-58,17,9867
124,Gastly,-58,-81,-90,-12,-68,27,23522
125,Haunter,-43,-66,-75,3,-48,42,15907
126,Gengar,-28,-51,-60,18,-28,57,11342
127,Gengar (Mega Gengar),-28,-51,-40,58,-8,77,14342
128,Onix,-53,-71,40,-82,-58,17,19827
129,Drowzee,-28,-68,-75,-69,-13,-11,16084
130,Hypno,-3,-43,-50,-39,12,14,6219
131,Krabby,-58,-11,-30,-87,-78,-3,18047
132,Kingler,-33,14,-5,-62,-53,22,8447
133,Voltorb,-48,-86,-70,-57,-48,47,22362
134,Voltorb (Hisuian Voltorb),-48,-86,-70,-57,-48,47,22362
135,Electrode,-28,-66,-50,-32,-23,97,18602
136,Electrode (Hisuian Electrode),-28,-66,-50,-32,-23,97,18602
137,Exeggcute,-28,-76,-40,-52,-58,-13,14397
138,Exeggutor,7,-21,-35,13,-28,2,2672
139,Exeggutor (Alolan Exeggutor),7,-11,-35,13,-28,-8,2412
140,Cubone,-38,-66,-25,-72,-53,-18,14742
141,Marowak,-28,-36,-10,-62,-23,-8,6617
142,Marowak (Alolan Marowak),-28,-36,-10,-62,-23,-8,6617
143,Hitmonlee,-38,4,-67,-77,7,34,13083
144,Hitmonchan,-38,-11,-41,-77,7,23,9753
145,Lickitung,2,-61,-45,-52,-28,-23,9767
146,Koffing,-48,-51,-25,-52,-58,-18,11922
147,Weezing,-23,-26,0,-27,-33,7,3072
148,Weezing (Galarian Weezing),-23,-26,0,-27,-33,7,3072
149,Rhyhorn,-8,-31,-25,-82,-73,-28,14487
150,Rhydon,17,14,0,-67,-58,-13,8507
151,Chansey,162,-111,-115,-77,2,-3,57732
152,Tangela,-23,-61,-5,-12,-63,7,8437
153,Kangaskhan,17,-21,-40,-72,-23,37,9412
154,Kangaskhan (Mega Kangaskhan),17,9,-20,-52,-3,47,5692
155,Horsea,-58,-76,-50,-42,-78,7,19537
156,Seadra,-33,-51,-25,-17,-58,32,8992
157,Goldeen,-43,-49,-60,-77,-53,10,16688
158,Seaking,-8,-24,-55,-47,-23,15,6628
159,Staryu,-58,-71,-65,-42,-48,32,17722
160,Starmie,-28,-41,-35,-12,-18,62,8002
161,Mr. Mime,-48,-71,-55,-12,17,37,12172
162,Mr. Mime (Galarian Mr. Mime),-38,-51,-55,-22,-13,47,9932
163,Scyther,-18,-6,-40,-57,-23,52,8442
164,Jynx,-23,-66,-85,3,-8,42,13947
165,Electabuzz,-23,-33,-63,-17,-18,52,8904
166,Magmar,-23,-21,-63,-12,-18,40,7007
167,Pinsir,-23,9,-20,-57,-33,32,6372
168,Pinsir (Mega Pinsir),-23,39,0,-47,-13,52,7132
169,Tauros,-13,-16,-25,-72,-33,57,10572
170,Tauros (Paldean Tauros (Combat Breed)),-13,-6,-15,-82,-33,47,10452
171,Tauros (Paldean Tauros (Blaze Breed)),-13,-6,-15,-82,-33,47,10452
172,Tauros (Paldean Tauros (Aqua Breed)),-13,-6,-15,-82,-33,47,10452
173,Magikarp,-68,-106,-65,-97,-83,27,37112
174,Gyarados,7,9,-41,-52,-3,28,5308
175,Gyarados (Mega Gyarados),7,39,-11,-42,27,28,4968
176,Lapras,42,-31,-40,-27,-8,7,5167
177,Ditto,-40,-68,-72,-64,-55,-5,18554
178,Eevee,-33,-61,-70,-67,-38,2,15647
179,Eevee (Partner Eevee),-23,-41,-50,-47,-18,22,7727
180,Vaporeon,42,-51,-60,-2,-8,12,8177
181,Jolteon,-23,-51,-60,-2,-8,77,12727
182,Flareon,-23,14,-60,-17,7,12,4807
183,Porygon,-23,-56,-50,-27,-28,-13,7847
184,Omanyte,-53,-76,-20,-22,-48,-18,12097
185,Omastar,-18,-56,5,3,-33,2,4587
186,Kabuto,-58,-36,-30,-57,-58,2,12177
187,Kabutops,-28,-1,-15,-47,-33,27,5037
188,Aerodactyl,-8,-11,-55,-52,-28,77,12627
189,Aerodactyl (Mega Aerodactyl),-8,19,-35,-42,-8,97,12887
190,Snorlax,72,-6,-55,-47,7,-23,11032
191,Articuno,2,-31,-20,-17,22,32,3162
192,Articuno (Galarian Articuno),2,-31,-35,13,-3,42,4132
193,Zapdos,2,-26,-35,13,-13,47,4452
194,Zapdos (Galarian Zapdos),2,9,-30,-27,-13,47,4092
195,Moltres,2,-16,-30,13,-18,37,3022
196,Moltres (Galarian Moltres),2,-31,-30,-12,22,37,3862
197,Dratini,-47,-52,-75,-62,-53,-3,17200
198,Dragonair,-27,-32,-55,-42,-33,17,7920
199,Dragonite,3,18,-25,-12,-3,27,1840
200,Mewtwo,18,-6,-30,42,-13,77,9122
201,Mewtwo (Mega Mewtwo X),18,74,-20,42,-3,77,13902
202,Mewtwo (Mega Mewtwo Y),18,34,-50,82,17,87,18562
203,Mew,12,-16,-20,-12,-3,47,3162
204,Chikorita,-43,-67,-55,-63,-38,-8,14840
205,Bayleef,-28,-54,-40,-49,-23,7,8279
206,Meganium,-8,-34,-20,-29,-3,27,3199
207,Cyndaquil,-49,-64,-77,-52,-53,12,18083
208,Quilava,-30,-52,-62,-32,-38,27,10645
209,Typhlosion,-10,-32,-42,-3,-18,47,5430
210,Typhlosion (Hisuian Typhlosion),-15,-32,-42,7,-18,42,5150
211,Totodile,-38,-51,-56,-68,-55,-10,14930
212,Croconaw,-23,-36,-40,-53,-40,5,7859
213,Feraligatr,-3,-11,-20,-33,-20,25,2644
214,Sentret,-53,-70,-86,-77,-58,-33,25487
215,Furret,-3,-40,-56,-67,-48,37,12907
216,Hoothoot,-28,-86,-90,-76,-47,-3,24274
217,Noctowl,12,-66,-70,-26,-7,17,10414
218,Ledyba,-48,-96,-90,-72,-23,2,25337
219,Ledian,-33,-81,-70,-57,7,32,16872
220,Spinarak,-48,-56,-80,-72,-63,-23,21522
221,Ariados,-18,-26,-50,-52,-33,-13,7462
222,Crobat,-3,-26,-40,-42,-23,77,10507
223,Chinchou,-13,-78,-82,-56,-47,14,18518
224,Lanturn,37,-58,-62,-36,-27,14,10798
225,Pichu,-68,-76,-105,-77,-68,7,32027
226,Cleffa,-38,-91,-92,-67,-48,-38,26426
227,Igglybuff,2,-86,-105,-72,-83,-38,31942
228,Togepi,-53,-96,-55,-72,-38,-33,22767
229,Togetic,-33,-76,-35,-32,2,-13,9287
230,Natu,-48,-66,-75,-42,-58,17,17702
231,Xatu,-23,-41,-50,-17,-33,42,7852
232,Mareep,-33,-76,-80,-47,-58,-18,19162
233,Flaaffy,-18,-61,-65,-32,-43,-8,11207
234,Ampharos,2,-41,-35,3,-13,2,3092
235,Ampharos (Mega Ampharos),2,-21,-15,53,7,-8,3592
236,Bellossom,-13,-36,-25,-22,-3,-3,2592
237,Marill,-18,-96,-70,-92,-53,-13,25882
238,Azumarill,12,-66,-40,-52,-23,-3,9342
239,Sudowoodo,-18,-16,-5,-82,-38,-23,9302
240,Politoed,2,-41,-45,-22,-3,17,4492
241,Hoppip,-53,-81,-80,-77,-48,-3,24012
242,Skiploom,-33,-71,-70,-67,-38,27,17692
243,Jumpluff,-13,-61,-50,-57,-8,57,12952
244,Aipom,-33,-46,-65,-72,-48,32,15942
245,Sunkern,-58,-86,-90,-82,-73,-23,31442
246,Sunflora,-13,-41,-65,-7,-18,-23,6977
247,Yanma,-23,-51,-75,-37,-58,42,15252
248,Wooper,-33,-71,-75,-87,-78,-38,26852
249,Wooper (Paldean Wooper),-33,-71,-75,-87,-78,-38,26852
250,Quagsire,7,-31,-35,-47,-38,-18,6212
251,Espeon,-23,-51,-60,18,-8,57,10367
252,Umbreon,7,-51,-10,-52,27,12,6327
253,Murkrow,-28,-31,-78,-27,-61,38,13723
254,Slowking,7,-41,-40,-12,7,-23,4052
255,Slowking (Galarian Slowking),7,-51,-40,-2,7,-23,4832
256,Misdreavus,-28,-56,-60,-27,-18,32,9597
257,Unown,-40,-44,-72,-40,-55,-5,13370
258,Wobbuffet,102,-83,-62,-79,-45,-20,29803
259,Girafarig,-18,-36,-55,-22,-38,32,7597
260,Pineco,-38,-51,-30,-77,-68,-38,16942
261,Forretress,-13,-26,20,-52,-43,-13,5967
262,Dunsparce,12,-46,-50,-47,-38,-8,8477
263,Gligar,-23,-41,-15,-77,-38,32,10832
264,Steelix,-13,-31,80,-57,-38,-23,12752
265,Steelix (Mega Steelix),-13,9,110,-57,-8,-23,16192
266,Snubbull,-28,-36,-70,-72,-63,-23,16662
267,Granbull,2,4,-45,-52,-43,-8,6662
268,Qwilfish,-23,-21,-35,-57,-48,32,8772
269,Qwilfish (Hisuian Qwilfish),-23,-21,-35,-57,-48,32,8772
270,Scizor,-18,14,-20,-57,-23,12,4842
271,Scizor (Mega Scizor),-18,34,20,-47,-3,22,4582
272,Shuckle,-68,-106,110,-102,127,-48,56797
273,Heracross,-8,9,-45,-72,-8,32,8442
274,Heracross (Mega Heracross),-8,69,-5,-72,2,22,10522
275,Sneasel,-33,-21,-65,-77,-28,62,16312
276,Sneasel (Hisuian Sneasel),-33,-21,-65,-77,-28,62,16312
277,Teddiursa,-28,-36,-70,-62,-53,-13,13802
278,Ursaring,2,14,-45,-37,-28,2,4382
279,Slugma,-48,-76,-80,-42,-63,-33,21302
280,Magcargo,-28,-66,0,-22,-23,-23,6682
281,Swinub,-38,-66,-80,-82,-73,-3,24262
282,Piloswine,12,-16,-40,-52,-43,-3,6562
283,Corsola,-23,-61,-25,-47,-8,-18,7472
284,Corsola (Galarian Corsola),-28,-61,-20,-47,-3,-23,7652
285,Remoraid,-53,-51,-85,-47,-68,12,19612
286,Octillery,-13,-11,-45,-7,-28,-8,3212
287,Delibird,-43,-61,-75,-47,-58,22,17252
288,Mantine,-3,-76,-50,-32,37,17,10967
289,Skarmory,-23,-36,20,-72,-33,17,8787
290,Houndour,-43,-56,-90,-32,-53,12,17062
291,Houndoom,-13,-26,-70,-2,-23,42,8042
292,Houndoom (Mega Houndoom),-13,-26,-30,28,-13,62,6542
293,Kingdra,-13,-21,-25,-17,-8,32,2612
294,Phanpy,2,-56,-60,-72,-63,-13,16062
295,Donphan,2,4,0,-52,-43,-3,4582
296,Porygon2,-3,-36,-30,-7,-8,7,2367
297,Stantler,-15,-21,-58,-27,-38,32,7227
298,Smeargle,-33,-96,-85,-92,-58,22,29842
299,Tyrogue,-53,-81,-85,-77,-68,-18,27472
300,Hitmontop,-38,-21,-25,-77,7,17,8777
301,Smoochum,-43,-86,-105,-27,-38,12,22587
302,Elekid,-43,-53,-83,-47,-48,42,17824
303,Magby,-43,-41,-83,-42,-48,30,15387
304,Miltank,7,-36,-15,-72,-33,47,10052
305,Blissey,167,-106,-110,-37,32,2,53622
306,Raikou,2,-31,-45,3,-3,62,6852
307,Entei,27,-1,-35,-22,-28,47,5432
308,Suicune,12,-41,-5,-22,12,32,3502
309,Larvitar,-38,-52,-70,-67,-53,-12,16490
310,Pupitar,-18,-32,-50,-47,-33,-2,7150
311,Tyranitar,12,18,-10,-17,-3,8,930
312,Tyranitar (Mega Tyranitar),12,48,30,-17,17,18,4250
313,Lugia,18,-26,10,-22,51,57,7434
314,Ho-Oh,18,14,-30,-2,51,37,5394
315,Celebi,12,-16,-20,-12,-3,47,3162
316,Treecko,-48,-71,-85,-47,-48,17,19372
317,Grovyle,-38,-51,-75,-27,-38,42,13607
318,Sceptile,-18,-31,-55,-7,-18,67,9172
319,Sceptile (Mega Sceptile),-18,-6,-45,33,-18,92,12262
320,Torchic,-43,-56,-80,-42,-53,-8,16022
321,Combusken,-28,-31,-60,-27,-43,2,7927
322,Blaziken,-8,4,-50,-2,-33,27,4402
323,Blaziken (Mega Blaziken),-8,44,-40,18,-23,47,6662
324,Mudkip,-38,-46,-70,-62,-53,-13,15282
325,Marshtomp,-18,-31,-50,-52,-33,-3,7587
326,Swampert,12,-6,-30,-27,-13,7,2027
327,Swampert (Mega Swampert),12,34,-10,-17,7,17,2027
328,Poochyena,-53,-61,-85,-82,-73,-18,26132
329,Mightyena,-18,-26,-50,-52,-43,17,8342
330,Zigzagoon,-50,-86,-79,-82,-62,7,26754
331,Zigzagoon (Galarian Zigzagoon),-50,-86,-79,-82,-62,7,26754
332,Linoone,-10,-46,-59,-62,-42,47,13514
333,Linoone (Galarian Linoone),-10,-46,-59,-62,-42,47,13514
334,Wurmple,-43,-71,-85,-92,-73,-33,28997
335,Silcoon,-38,-81,-65,-87,-78,-38,27327
336,Beautifly,-28,-46,-70,-12,-53,12,10897
337,Cascoon,-38,-81,-65,-87,-78,-38,27327
338,Dustox,-28,-66,-50,-62,-13,12,11797
339,Lotad,-48,-86,-90,-72,-53,-23,26322
340,Lombre,-28,-66,-70,-52,-33,-3,13842
341,Ludicolo,-8,-46,-50,-22,-3,17,5462
342,Seedot,-48,-76,-70,-82,-73,-23,25562
343,Nuzleaf,-18,-46,-80,-52,-63,7,15562
344,Shiftry,2,-16,-60,-22,-43,27,6922
345,Taillow,-48,-61,-90,-82,-73,32,27202
346,Swellow,-28,-31,-60,-37,-53,72,14707
347,Wingull,-48,-86,-90,-57,-73,32,27402
348,Pelipper,-28,-66,-20,-17,-33,12,7062
349,Ralts,-60,-91,-95,-67,-68,-13,30188
350,Kirlia,-50,-81,-85,-47,-48,-3,20808
351,Gardevoir,-20,-51,-55,13,12,27,7068
352,Gardevoir (Mega Gardevoir),-20,-31,-55,53,32,47,10428
353,Surskit,-48,-86,-88,-62,-51,12,24033
354,Masquerain,-18,-56,-58,-12,-21,27,8138
355,Shroomish,-28,-76,-60,-72,-43,-18,17517
356,Breloom,-28,14,-40,-52,-43,17,7422
357,Slakoth,-28,-56,-60,-77,-68,-23,18602
358,Vigoroth,-8,-36,-40,-57,-48,37,9882
359,Slaking,62,44,-20,-17,-38,47,10122
360,Nincada,-57,-71,-30,-82,-73,-13,21412
361,Ninjask,-27,-26,-75,-62,-53,107,25132
362,Shedinja,-87,-26,-75,-82,-73,-13,26092
363,Whismur,-24,-65,-97,-61,-80,-25,24956
364,Loudred,-4,-45,-77,-41,-60,-5,13276
365,Exploud,16,-25,-57,-21,-30,15,5696
366,Makuhita,-16,-56,-90,-92,-73,-28,26069
367,Hariyama,56,4,-60,-72,-43,-3,13794
368,Azurill,-38,-96,-80,-92,-63,-33,30582
369,Nosepass,-58,-71,15,-67,-13,-23,13817
370,Skitty,-38,-71,-75,-77,-68,-3,22672
371,Delcatty,-18,-51,-55,-57,-48,37,12872
372,Sableye,-38,-41,-45,-47,-38,-3,8812
373,Sableye (Mega Sableye),-38,-31,5,-27,12,-33,4392
374,Mawile,-38,-31,-35,-57,-48,-3,9192
375,Mawile (Mega Mawile),-38,-11,5,-57,-8,-3,4912
376,Aron,-38,-46,-20,-72,-63,-23,13642
377,Lairon,-28,-26,20,-62,-53,-13,8682
378,Aggron,-18,-6,60,-52,-43,-3,8522
379,Aggron (Mega Aggron),-18,24,110,-52,-23,-3,16242
380,Meditite,-58,-76,-65,-72,-48,7,20902
381,Medicham,-28,-56,-45,-52,-28,27,10162
382,Medicham (Mega Medicham),-28,-16,-35,-32,-18,47,5822
383,Electrike,-48,-71,-80,-47,-63,12,20067
384,Manectric,-18,-41,-60,-7,-43,52,10207
385,Manectric (Mega Manectric),-18,-41,-40,23,-23,82,11387
386,Plusle,-28,-66,-80,-27,-28,42,14817
387,Minun,-28,-76,-70,-37,-18,42,14917
388,Volbeat,-23,-43,-45,-65,-18,32,9976
389,Illumise,-23,-69,-45,-39,-18,32,10184
390,Roselia,-38,-56,-75,-12,-23,12,11022
391,Gulpin,-18,-73,-67,-69,-50,-13,17572
392,Swalot,12,-43,-37,-39,-20,2,5287
393,Carvanha,-43,-26,-100,-47,-83,12,21767
394,Sharpedo,-18,4,-80,-17,-63,42,12762
395,Sharpedo (Mega Sharpedo),-18,24,-50,-2,-38,52,7552
396,Wailmer,42,-46,-85,-42,-68,7,17542
397,Wailord,82,-26,-75,-22,-58,7,16922
398,Numel,-28,-56,-80,-47,-58,-18,16217
399,Camerupt,-18,-16,-50,-7,-28,-13,4082
400,Camerupt (Mega Camerupt),-18,4,-20,33,2,-33,2922
401,Torkoal,-18,-31,20,-27,-33,-33,4592
402,Spoink,-28,-91,-85,-42,-23,7,18632
403,Grumpig,-8,-71,-55,-22,7,27,9392
404,Spinda,-28,-56,-60,-52,-43,7,12122
405,Trapinch,-43,-16,-75,-67,-58,-43,17432
406,Vibrava,-38,-46,-70,-62,-53,17,15402
407,Flygon,-8,-16,-40,-32,-23,47,5682
408,Cacnea,-38,-31,-80,-27,-63,-18,13827
409,Cacturne,-18,-1,-60,3,-43,2,5787
410,Swablu,-43,-76,-60,-72,-28,-3,17202
411,Altaria,-13,-46,-30,-42,2,27,5682
412,Altaria (Mega Altaria),-13,-6,-10,-2,2,27,1042
413,Zangoose,-15,-1,-60,-52,-43,37,9748
414,Seviper,-15,-16,-60,-12,-43,12,6218
415,Lunatone,2,-61,-55,-17,-18,17,7652
416,Solrock,2,-21,-35,-57,-38,17,6652
417,Barboach,-38,-68,-77,-66,-62,7,20246
418,Whiscash,22,-38,-47,-36,-32,7,6506
419,Corphish,-45,-36,-55,-62,-68,-18,15138
420,Crawdaunt,-25,4,-35,-22,-48,2,4658
421,Baltoy,-48,-76,-65,-72,-33,2,18582
422,Claydol,-28,-46,-15,-42,17,22,5662
423,Lileep,-22,-75,-43,-51,-16,-30,11715
424,Cradily,-2,-35,-23,-31,4,-10,2835
425,Anorith,-43,-21,-70,-72,-53,22,15667
426,Armaldo,-13,9,-20,-42,-23,-8,3007
427,Feebas,-68,-101,-100,-102,-48,27,38262
428,Milotic,7,-56,-41,-12,22,28,6278
429,Castform,-18,-46,-50,-42,-33,17,8082
430,Kecleon,-28,-26,-50,-52,17,-13,7122
431,Shuppet,-44,-41,-85,-49,-70,-8,18207
432,Banette,-24,-1,-55,-29,-40,12,6187
433,Banette (Mega Banette),-24,49,-45,-19,-20,22,6247
434,Duskull,-68,-76,-30,-82,-13,-28,18977
435,Dusclops,-48,-46,10,-52,27,-28,8737
436,Tropius,11,-48,-37,-40,-16,-2,5654
437,Chimecho,-13,-66,-40,-17,-13,12,6727
438,Absol,-23,14,-60,-37,-43,22,8027
439,Absol (Mega Absol),-23,34,-60,3,-43,62,10987
440,Wynaut,7,-93,-72,-89,-55,-30,25728
441,Snorunt,-38,-66,-70,-62,-53,-3,17362
442,Glalie,-8,-36,-40,-32,-23,27,5242
443,Glalie (Mega Glalie),-8,4,-40,8,-23,47,4482
444,Spheal,-18,-76,-70,-57,-53,-28,17842
445,Sealeo,2,-56,-50,-37,-33,-8,8162
446,Walrein,22,-36,-30,-17,-13,12,3282
447,Clamperl,-53,-52,-35,-38,-48,-21,10927
448,Huntail,-33,-12,-15,-18,-28,-1,2567
449,Gorebyss,-33,-32,-15,2,-28,-1,3127
450,Relicanth,12,-26,10,-67,-38,2,6857
451,Luvdisc,-45,-86,-65,-72,-38,44,22210
452,Bagon,-43,-41,-60,-72,-73,-3,17652
453,Shelgon,-23,-21,-20,-52,-53,-3,6892
454,Salamence,7,19,-40,-2,-23,47,4752
455,Salamence (Mega Salamence),7,29,10,8,-13,67,5712
456,Beldum,-48,-61,-40,-77,-43,-23,15932
457,Metang,-28,-41,-20,-57,-23,-3,6652
458,Metagross,-8,19,10,-17,-13,17,1272
459,Metagross (Mega Metagross),-8,29,30,-7,7,57,5152
460,Regirock,-8,-16,80,-62,-3,-3,10582
461,Regice,-8,-66,-20,-12,97,-3,14382
462,Registeel,-8,-41,30,-37,47,-3,6232
463,Latias,-8,-36,-30,-2,27,57,6242
464,Latias (Mega Latias),-8,-16,0,28,47,57,6562
465,Latios,-8,-26,-40,18,7,57,5962
466,Latios (Mega Latios),-8,14,-20,48,17,57,6502
467,Kyogre,12,-16,-30,38,37,37,5482
468,Kyogre (Primal Kyogre),12,34,-30,68,57,37,11442
469,Groudon,12,34,20,-12,-13,37,3382
470,Groudon (Primal Groudon),12,64,40,38,-13,37,8822
471,Rayquaza,17,34,-30,38,-13,42,5722
472,Rayquaza (Mega Rayquaza),17,64,-20,68,-3,62,13262
473,Jirachi,12,-16,-20,-12,-3,47,3162
474,Deoxys (Normal Forme),-38,34,-70,38,-53,97,21162
