Jack Massingill vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
146,Koffing,-48,-37,-7,-60,-57,-48,12875
147,Weezing,-23,-12,18,-35,-32,-23,3775
148,Weezing (Galarian Weezing),-23,-12,18,-35,-32,-23,3775
149,Rhyhorn,-8,-17,-7,-90,-72,-58,17050
150,Rhydon,17,28,18,-75,-57,-43,12120
151,Chansey,162,-97,-97,-85,3,-33,53385
152,Tangela,-23,-47,13,-20,-62,-23,7680
153,Kangaskhan,17,-7,-22,-80,-22,7,7755
154,Kangaskhan (Mega Kangaskhan),17,23,-2,-60,-2,17,4715
155,Horsea,-58,-62,-32,-50,-77,-23,17190
156,Seadra,-33,-37,-7,-25,-57,2,6385
157,Goldeen,-43,-35,-42,-85,-52,-20,15167
158,Seaking,-8,-10,-37,-55,-22,-15,5267
159,Staryu,-58,-57,-47,-50,-47,2,13535
160,Starmie,-28,-27,-17,-20,-17,32,3515
161,Mr. Mime,-48,-57,-37,-20,18,7,7695
162,Mr. Mime (Galarian Mr. Mime),-38,-37,-37,-30,-12,17,5515
163,Scyther,-18,8,-22,-65,-22,22,6065
164,Jynx,-23,-52,-67,-5,-7,12,7940
165,Electabuzz,-23,-19,-45,-25,-17,22,4313
166,Magmar,-23,-7,-45,-20,-17,10,3392
167,Pinsir,-23,23,-2,-65,-32,2,6315
168,Pinsir (Mega Pinsir),-23,53,18,-55,-12,22,7315
169,Tauros,-13,-2,-7,-80,-32,27,8375
170,Tauros (Paldean Tauros (Combat Breed)),-13,8,3,-90,-32,17,9655
171,Tauros (Paldean Tauros (Blaze Breed)),-13,8,3,-90,-32,17,9655
172,Tauros (Paldean Tauros (Aqua Breed)),-13,8,3,-90,-32,17,9655
173,Magikarp,-68,-92,-47,-105,-82,-3,33055
174,Gyarados,7,23,-23,-60,-2,-2,4715
175,Gyarados (Mega Gyarados),7,53,7,-50,28,-2,6195
176,Lapras,42,-17,-22,-35,-7,-23,4340
177,Ditto,-40,-54,-54,-72,-54,-35,16757
178,Eevee,-33,-47,-52,-75,-37,-28,13780
179,Eevee (Partner Eevee),-23,-27,-32,-55,-17,-8,5660
180,Vaporeon,42,-37,-42,-10,-7,-18,5370
181,Jolteon,-23,-37,-42,-10,-7,47,6020
182,Flareon,-23,28,-42,-25,8,-18,4090
183,Porygon,-23,-42,-32,-35,-27,-43,7120
184,Omanyte,-53,-62,-2,-30,-47,-48,12070
185,Omastar,-18,-42,23,-5,-32,-28,4450
186,Kabuto,-58,-22,-12,-65,-57,-28,12250
187,Kabutops,-28,13,3,-55,-32,-3,5020
188,Aerodactyl,-8,3,-37,-60,-27,47,7980
189,Aerodactyl (Mega Aerodactyl),-8,33,-17,-50,-7,67,8480
190,Snorlax,72,8,-37,-55,8,-53,12515
191,Articuno,2,-17,-2,-25,23,2,1455
192,Articuno (Galarian Articuno),2,-17,-17,5,-2,12,755
193,Zapdos,2,-12,-17,5,-12,17,895
194,Zapdos (Galarian Zapdos),2,23,-12,-35,-12,17,2335
195,Moltres,2,-2,-12,5,-17,7,515
196,Moltres (Galarian Moltres),2,-17,-12,-20,23,7,1415
197,Dratini,-47,-38,-57,-70,-52,-33,15595
198,Dragonair,-27,-18,-37,-50,-32,-13,6115
199,Dragonite,3,32,-7,-20,-2,-3,1495
200,Mewtwo,18,8,-12,34,-12,47,4041
201,Mewtwo (Mega Mewtwo X),18,88,-2,34,-2,47,11441
202,Mewtwo (Mega Mewtwo Y),18,48,-32,74,18,57,12701
203,Mew,12,-2,-2,-20,-2,17,845
204,Chikorita,-43,-53,-37,-71,-37,-38,13881
205,Bayleef,-28,-40,-22,-57,-22,-23,7130
206,Meganium,-8,-20,-2,-37,-2,-3,1850
207,Cyndaquil,-49,-50,-59,-60,-52,-18,15010
208,Quilava,-30,-38,-44,-40,-37,-3,7258
209,Typhlosion,-10,-18,-24,-11,-17,17,1699
210,Typhlosion (Hisuian Typhlosion),-15,-18,-24,-1,-17,12,1559
211,Totodile,-38,-37,-38,-76,-54,-40,14549
212,Croconaw,-23,-22,-22,-61,-39,-25,7364
213,Feraligatr,-3,3,-2,-41,-19,-5,2089
214,Sentret,-53,-56,-68,-85,-57,-63,25012
215,Furret,-3,-26,-38,-75,-47,7,10012
216,Hoothoot,-28,-72,-72,-84,-46,-33,21413
217,Noctowl,12,-52,-52,-34,-6,-13,6913
218,Ledyba,-48,-82,-72,-80,-22,-28,21880
219,Ledian,-33,-67,-52,-65,8,2,12575
220,Spinarak,-48,-42,-62,-80,-62,-53,20965
221,Ariados,-18,-12,-32,-60,-32,-43,7965
222,Crobat,-3,-12,-22,-50,-22,47,5830
223,Chinchou,-13,-64,-64,-64,-46,-16,14829
224,Lanturn,37,-44,-44,-44,-26,-16,8109
225,Pichu,-68,-62,-87,-85,-67,-23,28280
226,Cleffa,-38,-77,-74,-75,-47,-68,25307
227,Igglybuff,2,-72,-87,-80,-82,-68,30505
228,Togepi,-53,-82,-37,-80,-37,-63,22640
229,Togetic,-33,-62,-17,-40,3,-43,8680
230,Natu,-48,-52,-57,-50,-57,-13,14175
231,Xatu,-23,-27,-32,-25,-32,12,4075
232,Mareep,-33,-62,-62,-55,-57,-48,17355
233,Flaaffy,-18,-47,-47,-40,-42,-38,9550
234,Ampharos,2,-27,-17,-5,-12,-28,1975
235,Ampharos (Mega Ampharos),2,-7,3,45,8,-38,3595
236,Bellossom,-13,-22,-7,-30,-2,-33,2695
237,Marill,-18,-82,-52,-100,-52,-43,24305
238,Azumarill,12,-52,-22,-60,-22,-33,8505
239,Sudowoodo,-18,-2,13,-90,-37,-53,12775
240,Politoed,2,-27,-27,-30,-2,-13,2535
241,Hoppip,-53,-67,-62,-85,-47,-33,21665
242,Skiploom,-33,-57,-52,-75,-37,-3,14045
243,Jumpluff,-13,-47,-32,-65,-7,27,8405
244,Aipom,-33,-32,-47,-80,-47,2,12935
245,Sunkern,-58,-72,-72,-90,-72,-53,29825
246,Sunflora,-13,-27,-47,-15,-17,-53,6430
247,Yanma,-23,-37,-57,-45,-57,12,10565
248,Wooper,-33,-57,-57,-95,-77,-68,27165
249,Wooper (Paldean Wooper),-33,-57,-57,-95,-77,-68,27165
250,Quagsire,7,-17,-17,-55,-37,-48,7325
251,Espeon,-23,-37,-42,10,-7,27,4540
252,Umbreon,7,-37,8,-60,28,-18,6190
253,Murkrow,-28,-17,-60,-35,-60,8,9562
254,Slowking,7,-27,-22,-20,8,-53,4535
255,Slowking (Galarian Slowking),7,-37,-22,-10,8,-53,4875
256,Misdreavus,-28,-42,-42,-35,-17,2,5830
257,Unown,-40,-30,-54,-48,-54,-35,11861
258,Wobbuffet,102,-69,-44,-87,-44,-50,29106
259,Girafarig,-18,-22,-37,-30,-37,2,4450
260,Pineco,-38,-37,-12,-85,-67,-68,19295
261,Forretress,-13,-12,38,-60,-42,-43,8970
262,Dunsparce,12,-32,-32,-55,-37,-38,8030
263,Gligar,-23,-27,3,-85,-37,2,9865
264,Steelix,-13,-17,98,-65,-37,-53,18465
265,Steelix (Mega Steelix),-13,23,128,-65,-7,-53,24165
266,Snubbull,-28,-22,-52,-80,-62,-53,17025
267,Granbull,2,18,-27,-60,-42,-38,7865
268,Qwilfish,-23,-7,-17,-65,-47,2,7305
269,Qwilfish (Hisuian Qwilfish),-23,-7,-17,-65,-47,2,7305
270,Scizor,-18,28,-2,-65,-22,-18,6145
271,Scizor (Mega Scizor),-18,48,38,-55,-2,-8,7165
272,Shuckle,-68,-92,128,-110,128,-78,64040
273,Heracross,-8,23,-27,-80,-7,2,7775
274,Heracross (Mega Heracross),-8,83,13,-80,3,-8,13595
275,Sneasel,-33,-7,-47,-85,-27,32,12325
276,Sneasel (Hisuian Sneasel),-33,-7,-47,-85,-27,32,12325
277,Teddiursa,-28,-22,-52,-70,-52,-43,13425
278,Ursaring,2,28,-27,-45,-27,-28,5055
279,Slugma,-48,-62,-62,-50,-62,-63,20305
280,Magcargo,-28,-52,18,-30,-22,-53,8005
281,Swinub,-38,-52,-62,-90,-72,-33,22365
282,Piloswine,12,-2,-22,-60,-42,-33,7085
283,Corsola,-23,-47,-7,-55,-7,-48,8165
284,Corsola (Galarian Corsola),-28,-47,-2,-55,-2,-53,8835
285,Remoraid,-53,-37,-67,-55,-67,-18,16505
286,Octillery,-13,3,-27,-15,-27,-38,3305
287,Delibird,-43,-47,-57,-55,-57,-8,13645
288,Mantine,-3,-62,-32,-40,38,-13,8090
289,Skarmory,-23,-22,38,-80,-32,-13,10050
290,Houndour,-43,-42,-72,-40,-52,-18,13425
291,Houndoom,-13,-12,-52,-10,-22,12,3745
292,Houndoom (Mega Houndoom),-13,-12,-12,20,-12,32,2025
293,Kingdra,-13,-7,-7,-25,-7,2,945
294,Phanpy,2,-42,-42,-80,-62,-43,15625
295,Donphan,2,18,18,-60,-42,-33,7105
296,Porygon2,-3,-22,-12,-15,-7,-23,1440
297,Stantler,-15,-7,-40,-35,-37,2,4472
298,Smeargle,-33,-82,-67,-100,-57,-8,25615
299,Tyrogue,-53,-67,-67,-85,-67,-48,25805
300,Hitmontop,-38,-7,-7,-85,8,-13,9000
301,Smoochum,-43,-72,-87,-35,-37,-18,17520
302,Elekid,-43,-39,-65,-55,-47,12,12973
303,Magby,-43,-27,-65,-50,-47,0,11512
304,Miltank,7,-22,3,-80,-32,17,8255
305,Blissey,167,-92,-92,-45,33,-28,48715
306,Raikou,2,-17,-27,-5,-2,32,2075
307,Entei,27,13,-17,-30,-27,17,3105
308,Suicune,12,-27,13,-30,13,2,2115
309,Larvitar,-38,-38,-52,-75,-52,-42,15685
310,Pupitar,-18,-18,-32,-55,-32,-32,6745
311,Tyranitar,12,32,8,-25,-2,-22,2345
312,Tyranitar (Mega Tyranitar),12,62,48,-25,18,-12,7385
313,Lugia,18,-12,28,-30,52,27,5585
314,Ho-Oh,18,28,-12,-10,52,7,4105
315,Celebi,12,-2,-2,-20,-2,17,845
316,Treecko,-48,-57,-67,-55,-47,-13,15445
317,Grovyle,-38,-37,-57,-35,-37,12,8800
318,Sceptile,-18,-17,-37,-15,-17,37,3865
319,Sceptile (Mega Sceptile),-18,8,-27,25,-17,62,5875
320,Torchic,-43,-42,-62,-50,-52,-38,14105
321,Combusken,-28,-17,-42,-35,-42,-28,6610
322,Blaziken,-8,18,-32,-10,-32,-3,2545
323,Blaziken (Mega Blaziken),-8,58,-22,10,-22,17,4785
324,Mudkip,-38,-32,-52,-70,-52,-43,14625
325,Marshtomp,-18,-17,-32,-60,-32,-33,7350
326,Swampert,12,8,-12,-35,-12,-23,2250
327,Swampert (Mega Swampert),12,48,8,-25,8,-13,3370
328,Poochyena,-53,-47,-67,-90,-72,-48,25095
329,Mightyena,-18,-12,-32,-60,-42,-13,7025
330,Zigzagoon,-50,-72,-61,-90,-61,-23,23755
331,Zigzagoon (Galarian Zigzagoon),-50,-72,-61,-90,-61,-23,23755
332,Linoone,-10,-32,-41,-70,-41,17,9675
333,Linoone (Galarian Linoone),-10,-32,-41,-70,-41,17,9675
334,Wurmple,-43,-57,-67,-100,-72,-63,28740
335,Silcoon,-38,-67,-47,-95,-77,-68,27720
336,Beautifly,-28,-32,-52,-20,-52,-18,7940
337,Cascoon,-38,-67,-47,-95,-77,-68,27720
338,Dustox,-28,-52,-32,-70,-12,-18,9880
339,Lotad,-48,-72,-72,-80,-52,-53,24585
340,Lombre,-28,-52,-52,-60,-32,-33,11905
341,Ludicolo,-8,-32,-32,-30,-2,-13,3185
342,Seedot,-48,-62,-52,-90,-72,-53,24945
343,Nuzleaf,-18,-32,-62,-60,-62,-23,13165
344,Shiftry,2,-2,-42,-30,-42,-3,4445
345,Taillow,-48,-47,-72,-90,-72,2,22985
346,Swellow,-28,-17,-42,-45,-52,42,9330
347,Wingull,-48,-72,-72,-65,-72,2,22085
348,Pelipper,-28,-52,-2,-25,-32,-18,5465
349,Ralts,-60,-77,-77,-75,-67,-43,27421
350,Kirlia,-50,-67,-67,-55,-47,-33,17801
351,Gardevoir,-20,-37,-37,5,13,-3,3341
352,Gardevoir (Mega Gardevoir),-20,-17,-37,45,33,17,5461
353,Surskit,-48,-72,-70,-70,-50,-18,20112
354,Masquerain,-18,-42,-40,-20,-20,-3,4497
355,Shroomish,-28,-62,-42,-80,-42,-48,16860
356,Breloom,-28,28,-22,-60,-42,-13,7585
357,Slakoth,-28,-42,-42,-85,-67,-53,18835
358,Vigoroth,-8,-22,-22,-65,-47,7,7515
359,Slaking,62,58,-2,-25,-37,17,9495
360,Nincada,-57,-57,-12,-90,-72,-43,21775
361,Ninjask,-27,-12,-57,-70,-52,77,17655
362,Shedinja,-87,-12,-57,-90,-72,-43,26095
363,Whismur,-24,-51,-79,-69,-79,-55,23445
364,Loudred,-4,-31,-59,-49,-59,-35,11565
365,Exploud,16,-11,-39,-29,-29,-15,3805
366,Makuhita,-16,-42,-72,-100,-72,-58,25752
367,Hariyama,56,18,-42,-80,-42,-33,14477
368,Azurill,-38,-82,-62,-100,-62,-63,29825
369,Nosepass,-58,-57,33,-75,-12,-53,16280
370,Skitty,-38,-57,-57,-85,-67,-33,20745
371,Delcatty,-18,-37,-37,-65,-47,7,9545
372,Sableye,-38,-27,-27,-55,-37,-33,8385
373,Sableye (Mega Sableye),-38,-17,23,-35,13,-63,7625
374,Mawile,-38,-17,-17,-65,-47,-33,9545
375,Mawile (Mega Mawile),-38,3,23,-65,-7,-33,7345
376,Aron,-38,-32,-2,-80,-62,-53,15525
377,Lairon,-28,-12,38,-70,-52,-43,11825
378,Aggron,-18,8,78,-60,-42,-33,12925
379,Aggron (Mega Aggron),-18,38,128,-60,-22,-33,23325
380,Meditite,-58,-62,-47,-80,-47,-23,18555
381,Medicham,-28,-42,-27,-60,-27,-3,7615
382,Medicham (Mega Medicham),-28,-2,-17,-40,-17,17,3255
383,Electrike,-48,-57,-62,-55,-62,-18,16590
384,Manectric,-18,-27,-42,-15,-42,22,5290
385,Manectric (Mega Manectric),-18,-27,-22,15,-22,52,4950
386,Plusle,-28,-52,-62,-35,-27,12,9430
387,Minun,-28,-62,-52,-45,-17,12,9790
388,Volbeat,-23,-29,-27,-73,-17,2,7721
389,Illumise,-23,-55,-27,-47,-17,2,6785
390,Roselia,-38,-42,-57,-20,-22,-18,7665
391,Gulpin,-18,-59,-49,-77,-49,-43,16385
392,Swalot,12,-29,-19,-47,-19,-28,4700
393,Carvanha,-43,-12,-82,-55,-82,-18,18790
394,Sharpedo,-18,18,-62,-25,-62,12,9105
395,Sharpedo (Mega Sharpedo),-18,38,-32,-10,-37,22,4745
396,Wailmer,42,-32,-67,-50,-67,-23,14795
397,Wailord,82,-12,-57,-30,-57,-23,14795
398,Numel,-28,-42,-62,-55,-57,-48,14970
399,Camerupt,-18,-2,-32,-15,-27,-43,4155
400,Camerupt (Mega Camerupt),-18,18,-2,25,3,-63,5255
401,Torkoal,-18,-17,38,-35,-32,-63,8275
402,Spoink,-28,-77,-67,-50,-22,-23,14715
403,Grumpig,-8,-57,-37,-30,8,-3,5655
404,Spinda,-28,-42,-42,-60,-42,-23,10205
405,Trapinch,-43,-2,-57,-75,-57,-73,19305
406,Vibrava,-38,-32,-52,-70,-52,-13,12945
407,Flygon,-8,-2,-22,-40,-22,17,2925
408,Cacnea,-38,-17,-62,-35,-62,-48,12950
409,Cacturne,-18,13,-42,-5,-42,-28,4830
410,Swablu,-43,-62,-42,-80,-27,-33,15675
411,Altaria,-13,-32,-12,-50,3,-3,3855
412,Altaria (Mega Altaria),-13,8,8,-10,3,-3,415
413,Zangoose,-15,13,-42,-60,-42,7,7571
414,Seviper,-15,-2,-42,-20,-42,-18,4481
415,Lunatone,2,-47,-37,-25,-17,-13,4665
416,Solrock,2,-7,-17,-65,-37,-13,6105
417,Barboach,-38,-54,-59,-74,-61,-23,17567
418,Whiscash,22,-24,-29,-44,-31,-23,5327
419,Corphish,-45,-22,-37,-70,-67,-48,15571
420,Crawdaunt,-25,18,-17,-30,-47,-28,5131
421,Baltoy,-48,-62,-47,-80,-32,-28,16565
422,Claydol,-28,-32,3,-50,18,-8,4705
423,Lileep,-22,-61,-25,-59,-15,-60,12136
424,Cradily,-2,-21,-5,-39,5,-40,3616
425,Anorith,-43,-7,-52,-80,-52,-8,13770
426,Armaldo,-13,23,-2,-50,-22,-38,5130
427,Feebas,-68,-87,-82,-110,-47,-3,33235
428,Milotic,7,-42,-23,-20,23,-2,3275
429,Castform,-18,-32,-32,-50,-32,-13,6065
430,Kecleon,-28,-12,-32,-60,18,-43,7725
431,Shuppet,-44,-27,-67,-57,-69,-38,16608
432,Banette,-24,13,-37,-37,-39,-18,5328
433,Banette (Mega Banette),-24,63,-27,-27,-19,-8,6428
434,Duskull,-68,-62,-12,-90,-12,-58,20220
435,Dusclops,-48,-32,28,-60,28,-58,11860
436,Tropius,11,-34,-19,-48,-15,-32,5191
437,Chimecho,-13,-52,-22,-25,-12,-18,4450
438,Absol,-23,28,-42,-45,-42,-8,6930
439,Absol (Mega Absol),-23,48,-42,-5,-42,32,7410
440,Wynaut,7,-79,-54,-97,-54,-60,25131
441,Snorunt,-38,-52,-52,-70,-52,-33,15545
442,Glalie,-8,-22,-22,-40,-22,-3,3125
443,Glalie (Mega Glalie),-8,18,-22,0,-22,17,1645
444,Spheal,-18,-62,-52,-65,-52,-58,17165
445,Sealeo,2,-42,-32,-45,-32,-38,7285
446,Walrein,22,-22,-12,-25,-12,-18,2205
447,Clamperl,-53,-38,-17,-46,-47,-51,11468
448,Huntail,-33,2,3,-26,-27,-31,3468
449,Gorebyss,-33,-18,3,-6,-27,-31,3148
450,Relicanth,12,-12,28,-75,-37,-28,8850
451,Luvdisc,-45,-72,-47,-80,-37,14,17383
452,Bagon,-43,-27,-42,-80,-72,-33,17015
453,Shelgon,-23,-7,-2,-60,-52,-33,7975
454,Salamence,7,33,-22,-10,-22,17,2495
455,Salamence (Mega Salamence),7,43,28,0,-12,37,4195
456,Beldum,-48,-47,-22,-85,-42,-53,16795
457,Metang,-28,-27,-2,-65,-22,-33,7315
458,Metagross,-8,33,28,-25,-12,-13,2875
459,Metagross (Mega Metagross),-8,43,48,-15,8,27,5235
460,Regirock,-8,-2,98,-70,-2,-33,15665
461,Regice,-8,-52,-2,-20,98,-33,13865
462,Registeel,-8,-27,48,-45,48,-33,8515
463,Latias,-8,-22,-12,-10,28,27,2305
464,Latias (Mega Latias),-8,-2,18,20,48,27,3825
465,Latios,-8,-12,-22,10,8,27,1585
466,Latios (Mega Latios),-8,28,-2,40,18,27,3505
467,Kyogre,12,-2,-12,30,38,7,2685
468,Kyogre (Primal Kyogre),12,48,-12,60,58,7,9605
469,Groudon,12,48,38,-20,-12,7,4485
470,Groudon (Primal Groudon),12,78,58,30,-12,7,10685
471,Rayquaza,17,48,-12,30,-12,12,3925
