Will Simpson vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
38,Sandslash,-8,3,10,-53,-43,-10,4931
39,Sandslash (Alolan Sandslash),-8,3,20,-73,-33,-10,6991
40,Nidoran♀,-28,-50,-48,-58,-58,-34,13472
41,Nidorina,-13,-35,-33,-43,-43,-19,6542
42,Nidoqueen,7,-5,-13,-23,-13,1,942
43,Nidoran♂,-37,-40,-60,-58,-58,-25,13922
44,Nidorino,-22,-25,-43,-43,-43,-10,6756
45,Nidoking,-2,5,-23,-13,-23,10,1356
46,Clefairy,-13,-52,-52,-38,-33,-40,9710
47,Clefable,12,-27,-27,-3,-8,-15,1900
48,Vulpix,-45,-56,-60,-48,-33,-10,12254
49,Vulpix (Alolan Vulpix),-45,-56,-60,-48,-33,-10,12254
50,Ninetales,-10,-21,-25,-17,2,25,2084
51,Ninetales (Alolan Ninetales),-10,-30,-25,-17,2,34,3074
52,Jigglypuff,32,-52,-80,-53,-73,-55,21291
53,Wigglytuff,57,-27,-55,-13,-48,-30,10376
54,Zubat,-43,-52,-65,-68,-58,-20,17166
55,Golbat,-8,-17,-30,-33,-23,15,3096
56,Oddish,-38,-47,-45,-23,-33,-45,9321
57,Gloom,-23,-32,-30,-13,-23,-35,4376
58,Vileplume,-8,-17,-15,12,-8,-25,1411
59,Paras,-48,-27,-45,-53,-43,-50,12216
60,Parasect,-23,-2,-20,-38,-18,-45,4726
61,Venonat,-23,-42,-50,-58,-43,-30,10906
62,Venomoth,-13,-32,-40,-8,-23,15,3611
63,Diglett,-73,-42,-75,-63,-53,20,19896
64,Diglett (Alolan Diglett),-73,-42,-70,-63,-53,15,18996
65,Dugtrio,-48,3,-50,-48,-28,45,9926
66,Dugtrio (Alolan Dugtrio),-48,3,-40,-48,-28,35,8226
67,Meowth,-43,-52,-65,-58,-58,15,15731
68,Meowth (Alolan Meowth),-43,-62,-65,-48,-58,15,15811
69,Meowth (Galarian Meowth),-33,-32,-45,-58,-58,-35,12091
70,Persian,-18,-27,-40,-33,-33,40,6431
71,Persian (Alolan Persian),-18,-37,-40,-23,-33,40,6511
72,Psyduck,-33,-45,-52,-33,-48,-20,9611
73,Golduck,-3,-15,-22,-3,-18,10,1151
74,Mankey,-43,-17,-65,-63,-53,-5,13166
75,Primeape,-18,8,-40,-38,-28,20,4616
76,Growlithe,-28,-27,-55,-28,-48,-15,7851
77,Growlithe (Hisuian Growlithe),-23,-22,-55,-33,-48,-20,7831
78,Arcanine,7,13,-20,2,-18,20,1346
79,Arcanine (Hisuian Arcanine),12,18,-20,-3,-18,15,1426
80,Poliwag,-43,-47,-60,-58,-58,15,14611
81,Poliwhirl,-18,-32,-35,-48,-48,15,7406
82,Poliwrath,7,-2,-5,-28,-8,-5,951
83,Abra,-58,-77,-85,7,-43,15,18641
84,Kadabra,-43,-62,-70,22,-28,30,12761
85,Alakazam,-28,-47,-55,37,-3,45,9421
86,Alakazam (Mega Alakazam),-28,-47,-35,77,7,75,15821
87,Machop,-13,-17,-50,-63,-63,-40,12496
88,Machoke,-3,3,-30,-48,-38,-30,5566
89,Machamp,7,33,-20,-33,-13,-20,3196
90,Bellsprout,-33,-22,-65,-28,-68,-35,12431
91,Weepinbell,-18,-7,-50,-13,-53,-20,6251
92,Victreebel,-3,8,-35,2,-28,-5,2111
93,Tentacool,-43,-57,-65,-48,2,-5,11656
94,Tentacruel,-3,-27,-35,-18,22,25,3396
95,Geodude,-43,-17,0,-68,-68,-55,14411
96,Geodude (Alolan Geodude),-43,-17,0,-68,-68,-55,14411
97,Graveler,-28,-2,15,-53,-53,-40,8231
98,Graveler (Alolan Graveler),-28,-2,15,-53,-53,-40,8231
99,Golem,-3,23,30,-43,-33,-30,5276
100,Golem (Alolan Golem),-3,23,30,-43,-33,-30,5276
101,Ponyta,-33,-12,-45,-33,-33,15,5661
102,Ponyta (Galarian Ponyta),-33,-12,-45,-33,-33,15,5661
103,Rapidash,-18,3,-30,-18,-18,30,2781
104,Rapidash (Galarian Rapidash),-18,3,-30,-18,-18,30,2781
105,Slowpoke,7,-32,-35,-58,-58,-60,12626
106,Slowpoke (Galarian Slowpoke),7,-32,-35,-58,-58,-60,12626
107,Slowbro,12,-22,10,2,-18,-45,3081
108,Slowbro (Mega Slowbro),12,-22,80,32,-18,-45,10401
109,Slowbro (Galarian Slowbro),12,3,-5,2,-28,-45,2991
110,Magnemite,-58,-62,-30,-3,-43,-30,10866
111,Magneton,-33,-37,-5,22,-28,-5,3776
112,Farfetch'd,-31,-7,-45,-40,-36,-15,6156
113,Farfetch'd (Galarian Farfetch'd),-31,-2,-45,-40,-36,-20,6286
114,Doduo,-48,-12,-55,-63,-63,0,13411
115,Dodrio,-23,13,-30,-38,-38,35,5711
116,Seel,-18,-52,-45,-53,-28,-30,9546
117,Dewgong,7,-27,-20,-28,-3,-5,1996
118,Grimer,-3,-17,-50,-58,-48,-50,10966
119,Grimer (Alolan Grimer),-3,-17,-50,-58,-48,-50,10966
120,Muk,22,8,-25,-33,2,-25,2891
121,Muk (Alolan Muk),22,8,-25,-33,2,-25,2891
122,Shellder,-53,-32,0,-53,-73,-35,13196
123,Cloyster,-33,-2,80,-13,-53,-5,10496
124,Gastly,-53,-62,-70,2,-63,5,15551
125,Haunter,-38,-47,-55,17,-43,20,9216
126,Gengar,-23,-32,-40,32,-23,35,5931
127,Gengar (Mega Gengar),-23,-32,-20,72,-3,55,10171
128,Onix,-48,-52,60,-68,-53,-5,16066
129,Drowzee,-23,-49,-55,-55,-8,-33,10133
130,Hypno,2,-24,-30,-25,17,-8,2458
131,Krabby,-53,8,-10,-73,-73,-25,14256
132,Kingler,-28,33,15,-48,-48,0,6706
133,Voltorb,-43,-67,-50,-43,-43,25,13161
134,Voltorb (Hisuian Voltorb),-43,-67,-50,-43,-43,25,13161
135,Electrode,-23,-47,-30,-18,-18,75,9911
136,Electrode (Hisuian Electrode),-23,-47,-30,-18,-18,75,9911
137,Exeggcute,-23,-57,-20,-38,-53,-35,9656
138,Exeggutor,12,-2,-15,27,-23,-20,2031
139,Exeggutor (Alolan Exeggutor),12,8,-15,27,-23,-30,2591
140,Cubone,-33,-47,-5,-58,-48,-40,10591
141,Marowak,-23,-17,10,-48,-18,-30,4446
142,Marowak (Alolan Marowak),-23,-17,10,-48,-18,-30,4446
143,Hitmonlee,-33,23,-47,-63,12,12,8084
144,Hitmonchan,-33,8,-21,-63,12,1,5708
145,Lickitung,7,-42,-25,-38,-23,-45,6436
146,Koffing,-43,-32,-5,-38,-53,-40,8751
147,Weezing,-18,-7,20,-13,-28,-15,1951
148,Weezing (Galarian Weezing),-18,-7,20,-13,-28,-15,1951
149,Rhyhorn,-3,-12,-5,-68,-68,-50,11926
150,Rhydon,22,33,20,-53,-53,-35,8816
151,Chansey,167,-92,-95,-63,7,-25,50021
152,Tangela,-18,-42,15,2,-58,-15,5906
153,Kangaskhan,22,-2,-20,-58,-18,15,4801
154,Kangaskhan (Mega Kangaskhan),22,28,0,-38,2,25,3341
155,Horsea,-53,-57,-30,-28,-73,-15,13296
156,Seadra,-28,-32,-5,-3,-53,10,4751
157,Goldeen,-38,-30,-40,-63,-48,-12,10361
158,Seaking,-3,-5,-35,-33,-18,-7,2721
159,Staryu,-53,-52,-45,-28,-43,10,10271
160,Starmie,-23,-22,-15,2,-13,40,3011
161,Mr. Mime,-43,-52,-35,2,22,15,6491
162,Mr. Mime (Galarian Mr. Mime),-33,-32,-35,-8,-8,25,4091
163,Scyther,-13,13,-20,-43,-18,30,3811
164,Jynx,-18,-47,-65,17,-3,20,7456
165,Electabuzz,-18,-14,-43,-3,-13,30,3447
166,Magmar,-18,-2,-43,2,-13,18,2674
167,Pinsir,-18,28,0,-43,-28,10,3841
168,Pinsir (Mega Pinsir),-18,58,20,-33,-8,30,6141
169,Tauros,-8,3,-5,-58,-28,35,5471
170,Tauros (Paldean Tauros (Combat Breed)),-8,13,5,-68,-28,25,6291
171,Tauros (Paldean Tauros (Blaze Breed)),-8,13,5,-68,-28,25,6291
172,Tauros (Paldean Tauros (Aqua Breed)),-8,13,5,-68,-28,25,6291
173,Magikarp,-63,-87,-45,-83,-78,5,26561
174,Gyarados,12,28,-21,-38,2,6,2853
175,Gyarados (Mega Gyarados),12,58,9,-28,32,6,5433
176,Lapras,47,-12,-20,-13,-3,-15,3156
177,Ditto,-35,-49,-52,-50,-50,-27,12059
178,Eevee,-28,-42,-50,-53,-33,-20,9346
179,Eevee (Partner Eevee),-18,-22,-30,-33,-13,0,2966
180,Vaporeon,47,-32,-40,12,-3,-10,5086
181,Jolteon,-18,-32,-40,12,-3,55,6126
182,Flareon,-18,33,-40,-3,12,-10,3266
183,Porygon,-18,-37,-30,-13,-23,-35,4516
184,Omanyte,-48,-57,0,-8,-43,-40,9066
185,Omastar,-13,-37,25,17,-28,-20,3636
186,Kabuto,-53,-17,-10,-43,-53,-20,8256
187,Kabutops,-23,18,5,-33,-28,5,2776
188,Aerodactyl,-3,8,-35,-38,-23,55,6296
189,Aerodactyl (Mega Aerodactyl),-3,38,-15,-28,-3,75,8096
190,Snorlax,77,13,-35,-33,12,-45,10581
191,Articuno,7,-12,0,-3,27,10,1031
192,Articuno (Galarian Articuno),7,-12,-15,27,2,20,1551
193,Zapdos,7,-7,-15,27,-8,25,1741
194,Zapdos (Galarian Zapdos),7,28,-10,-13,-8,25,1791
195,Moltres,7,3,-10,27,-13,15,1281
196,Moltres (Galarian Moltres),7,-12,-10,2,27,15,1251
197,Dratini,-42,-33,-55,-48,-48,-25,11111
198,Dragonair,-22,-13,-35,-28,-28,-5,3471
199,Dragonite,8,37,-5,2,2,5,1491
200,Mewtwo,23,13,-10,56,-8,55,7023
201,Mewtwo (Mega Mewtwo X),23,93,0,56,2,55,15343
202,Mewtwo (Mega Mewtwo Y),23,53,-30,96,22,65,18163
203,Mew,17,3,0,2,2,25,931
204,Chikorita,-38,-48,-35,-49,-33,-30,9363
205,Bayleef,-23,-35,-20,-35,-18,-15,3928
206,Meganium,-3,-15,0,-15,2,5,488
207,Cyndaquil,-44,-45,-57,-38,-48,-10,11058
208,Quilava,-25,-33,-42,-18,-33,5,4916
209,Typhlosion,-5,-13,-22,11,-13,25,1593
210,Typhlosion (Hisuian Typhlosion),-10,-13,-22,21,-13,20,1763
211,Totodile,-33,-32,-36,-54,-50,-32,9849
212,Croconaw,-18,-17,-20,-39,-35,-17,4048
213,Feraligatr,2,8,0,-19,-15,3,663
214,Sentret,-48,-51,-66,-63,-53,-55,19064
215,Furret,2,-21,-36,-53,-43,15,6624
216,Hoothoot,-23,-67,-70,-62,-42,-25,16151
217,Noctowl,17,-47,-50,-12,-2,-5,5171
218,Ledyba,-43,-77,-70,-58,-18,-20,16766
219,Ledian,-28,-62,-50,-43,12,10,9221
220,Spinarak,-43,-37,-60,-58,-58,-45,15571
221,Ariados,-13,-7,-30,-38,-28,-35,4571
222,Crobat,2,-7,-20,-28,-18,55,4586
223,Chinchou,-8,-59,-62,-42,-42,-8,10981
224,Lanturn,42,-39,-42,-22,-22,-8,6081
225,Pichu,-63,-57,-85,-63,-63,-15,22606
226,Cleffa,-33,-72,-72,-53,-43,-60,19715
227,Igglybuff,7,-67,-85,-58,-78,-60,24811
228,Togepi,-48,-77,-35,-58,-33,-55,16936
229,Togetic,-28,-57,-15,-18,7,-35,5856
230,Natu,-43,-47,-55,-28,-53,-5,10701
231,Xatu,-18,-22,-30,-3,-28,20,2901
232,Mareep,-28,-57,-60,-33,-53,-40,13131
233,Flaaffy,-13,-42,-45,-18,-38,-30,6626
234,Ampharos,7,-22,-15,17,-8,-20,1511
235,Ampharos (Mega Ampharos),7,-2,5,67,12,-30,5611
236,Bellossom,-8,-17,-5,-8,2,-25,1071
237,Marill,-13,-77,-50,-78,-48,-35,18211
238,Azumarill,17,-47,-20,-38,-18,-25,5291
239,Sudowoodo,-13,3,15,-68,-33,-45,8141
240,Politoed,7,-22,-25,-8,2,-5,1251
241,Hoppip,-48,-62,-60,-63,-43,-25,16191
242,Skiploom,-28,-52,-50,-53,-33,5,9911
243,Jumpluff,-8,-42,-30,-43,-3,35,5811
244,Aipom,-28,-27,-45,-58,-43,10,8851
245,Sunkern,-53,-67,-70,-68,-68,-45,23471
246,Sunflora,-8,-22,-45,7,-13,-45,4816
247,Yanma,-18,-32,-55,-23,-53,20,8111
248,Wooper,-28,-52,-55,-73,-73,-60,20771
249,Wooper (Paldean Wooper),-28,-52,-55,-73,-73,-60,20771
250,Quagsire,12,-12,-15,-33,-33,-40,4291
251,Espeon,-18,-32,-40,32,-3,35,5206
252,Umbreon,12,-32,10,-38,32,-10,3836
253,Murkrow,-23,-12,-58,-13,-56,16,7598
254,Slowking,12,-22,-20,2,12,-45,3201
255,Slowking (Galarian Slowking),12,-32,-20,12,12,-45,3881
256,Misdreavus,-23,-37,-40,-13,-13,10,3936
257,Unown,-35,-25,-52,-26,-50,-27,8459
258,Wobbuffet,107,-64,-42,-65,-40,-42,24898
259,Girafarig,-13,-17,-35,-8,-33,10,2936
260,Pineco,-33,-32,-10,-63,-63,-60,13751
261,Forretress,-8,-7,40,-38,-38,-35,5826
262,Dunsparce,17,-27,-30,-33,-33,-30,4996
263,Gligar,-18,-22,5,-63,-33,10,5991
264,Steelix,-8,-12,100,-43,-33,-45,15171
265,Steelix (Mega Steelix),-8,28,130,-43,-3,-45,21631
266,Snubbull,-23,-17,-50,-58,-58,-45,12071
267,Granbull,7,23,-25,-38,-38,-30,4991
268,Qwilfish,-18,-2,-15,-43,-43,10,4351
269,Qwilfish (Hisuian Qwilfish),-18,-2,-15,-43,-43,10,4351
270,Scizor,-13,33,0,-43,-18,-10,3531
271,Scizor (Mega Scizor),-13,53,40,-33,2,0,5671
272,Shuckle,-63,-87,130,-88,132,-70,58506
273,Heracross,-3,28,-25,-58,-3,10,4891
274,Heracross (Mega Heracross),-3,88,15,-58,7,0,11391
275,Sneasel,-28,-2,-45,-63,-23,40,8911
276,Sneasel (Hisuian Sneasel),-28,-2,-45,-63,-23,40,8911
277,Teddiursa,-23,-17,-50,-48,-48,-35,9151
278,Ursaring,7,33,-25,-23,-23,-20,3221
279,Slugma,-43,-57,-60,-28,-58,-55,15871
280,Magcargo,-23,-47,20,-8,-18,-45,5551
281,Swinub,-33,-47,-60,-68,-68,-25,16771
282,Piloswine,17,3,-20,-38,-38,-25,4211
283,Corsola,-18,-42,-5,-33,-3,-40,4811
284,Corsola (Galarian Corsola),-23,-42,0,-33,2,-45,5411
285,Remoraid,-48,-32,-65,-33,-63,-10,12711
286,Octillery,-8,8,-25,7,-23,-30,2231
287,Delibird,-38,-42,-55,-33,-53,0,10131
288,Mantine,2,-57,-30,-18,42,-5,6266
289,Skarmory,-18,-17,40,-58,-28,-5,6386
290,Houndour,-38,-37,-70,-18,-48,-10,10441
291,Houndoom,-8,-7,-50,12,-18,20,3481
292,Houndoom (Mega Houndoom),-8,-7,-10,42,-8,40,3641
293,Kingdra,-8,-2,-5,-3,-3,10,211
294,Phanpy,7,-37,-40,-58,-58,-35,10971
295,Donphan,7,23,20,-38,-38,-25,4491
296,Porygon2,2,-17,-10,7,-3,-15,676
297,Stantler,-10,-2,-38,-13,-33,10,2906
298,Smeargle,-28,-77,-65,-78,-53,0,19831
299,Tyrogue,-48,-62,-65,-63,-63,-40,19911
300,Hitmontop,-33,-2,-5,-63,12,-5,5256
301,Smoochum,-38,-67,-85,-13,-33,-10,14516
302,Elekid,-38,-34,-63,-33,-43,20,9907
303,Magby,-38,-22,-63,-28,-43,8,8594
304,Miltank,12,-17,5,-58,-28,25,5231
305,Blissey,172,-87,-90,-23,37,-20,47551
306,Raikou,7,-12,-25,17,2,40,2711
307,Entei,32,18,-15,-8,-23,25,2791
308,Suicune,17,-22,15,-8,17,10,1451
309,Larvitar,-33,-33,-50,-53,-48,-34,10947
310,Pupitar,-13,-13,-30,-33,-28,-24,3687
311,Tyranitar,17,37,10,-3,2,-14,1967
312,Tyranitar (Mega Tyranitar),17,67,50,-3,22,-4,7787
313,Lugia,23,-7,30,-8,56,35,5903
314,Ho-Oh,23,33,-10,12,56,15,5223
315,Celebi,17,3,0,2,2,25,931
316,Treecko,-43,-52,-65,-33,-43,-5,11741
317,Grovyle,-33,-32,-55,-13,-33,20,6796
318,Sceptile,-13,-12,-35,7,-13,45,3781
319,Sceptile (Mega Sceptile),-13,13,-25,47,-13,70,8241
320,Torchic,-38,-37,-60,-28,-48,-30,10401
321,Combusken,-23,-12,-40,-13,-38,-20,4286
322,Blaziken,-3,23,-30,12,-28,5,2391
323,Blaziken (Mega Blaziken),-3,63,-20,32,-18,25,6351
324,Mudkip,-33,-27,-50,-48,-48,-35,10151
325,Marshtomp,-13,-12,-30,-38,-28,-25,4066
326,Swampert,17,13,-10,-13,-8,-15,1016
327,Swampert (Mega Swampert),17,53,10,-3,12,-5,3376
328,Poochyena,-48,-42,-65,-68,-68,-40,19141
329,Mightyena,-13,-7,-30,-38,-38,-5,4031
330,Zigzagoon,-45,-67,-59,-68,-57,-15,18093
331,Zigzagoon (Galarian Zigzagoon),-45,-67,-59,-68,-57,-15,18093
332,Linoone,-5,-27,-39,-48,-37,25,6573
333,Linoone (Galarian Linoone),-5,-27,-39,-48,-37,25,6573
334,Wurmple,-38,-52,-65,-78,-68,-55,22106
335,Silcoon,-33,-62,-45,-73,-73,-60,21216
336,Beautifly,-23,-27,-50,2,-48,-10,6166
337,Cascoon,-33,-62,-45,-73,-73,-60,21216
338,Dustox,-23,-47,-30,-48,-8,-10,6106
339,Lotad,-43,-67,-70,-58,-48,-45,18931
340,Lombre,-23,-47,-50,-38,-28,-25,8091
341,Ludicolo,-3,-27,-30,-8,2,-5,1731
342,Seedot,-43,-57,-50,-68,-68,-45,18871
343,Nuzleaf,-13,-27,-60,-38,-58,-15,9531
344,Shiftry,7,3,-40,-8,-38,5,3191
345,Taillow,-43,-42,-70,-68,-68,10,17861
346,Swellow,-23,-12,-40,-23,-48,50,7606
347,Wingull,-43,-67,-70,-43,-68,10,17811
348,Pelipper,-23,-47,0,-3,-28,-10,3631
349,Ralts,-55,-72,-75,-53,-63,-35,21837
350,Kirlia,-45,-62,-65,-33,-43,-25,13657
351,Gardevoir,-15,-32,-35,27,17,5,3517
352,Gardevoir (Mega Gardevoir),-15,-12,-35,67,37,25,8077
353,Surskit,-43,-67,-68,-48,-46,-10,15482
354,Masquerain,-13,-37,-38,2,-16,5,3267
355,Shroomish,-23,-57,-40,-58,-38,-40,11786
356,Breloom,-23,33,-20,-38,-38,-5,4931
357,Slakoth,-23,-37,-40,-63,-63,-45,13461
358,Vigoroth,-3,-17,-20,-43,-43,15,4621
359,Slaking,67,63,0,-3,-33,25,10181
360,Nincada,-52,-52,-10,-68,-68,-35,15981
361,Ninjask,-22,-7,-55,-48,-48,85,15391
362,Shedinja,-82,-7,-55,-68,-68,-35,20271
363,Whismur,-19,-46,-77,-47,-75,-47,18449
364,Loudred,1,-26,-57,-27,-55,-27,8409
365,Exploud,21,-6,-37,-7,-25,-7,2569
366,Makuhita,-11,-37,-70,-78,-68,-50,19598
367,Hariyama,61,23,-40,-58,-38,-25,11283
368,Azurill,-33,-77,-60,-78,-58,-55,23091
369,Nosepass,-53,-52,35,-53,-8,-45,11636
370,Skitty,-33,-52,-55,-63,-63,-25,15381
371,Delcatty,-13,-32,-35,-43,-43,15,6341
372,Sableye,-33,-22,-25,-33,-33,-25,5001
373,Sableye (Mega Sableye),-33,-12,25,-13,17,-55,5341
374,Mawile,-33,-12,-15,-43,-43,-25,5781
375,Mawile (Mega Mawile),-33,8,25,-43,-3,-25,4261
376,Aron,-33,-27,0,-58,-58,-45,10571
377,Lairon,-23,-7,40,-48,-48,-35,8011
378,Aggron,-13,13,80,-38,-38,-25,10251
379,Aggron (Mega Aggron),-13,43,130,-38,-18,-25,21311
380,Meditite,-53,-57,-45,-58,-43,-15,13521
381,Medicham,-23,-37,-25,-38,-23,5,4521
382,Medicham (Mega Medicham),-23,3,-15,-18,-13,25,1881
383,Electrike,-43,-52,-60,-33,-58,-10,12706
384,Manectric,-13,-22,-40,7,-38,30,4646
385,Manectric (Mega Manectric),-13,-22,-20,37,-18,60,6346
386,Plusle,-23,-47,-60,-13,-23,20,7436
387,Minun,-23,-57,-50,-23,-13,20,7376
388,Volbeat,-18,-24,-25,-51,-13,10,4395
389,Illumise,-18,-50,-25,-25,-13,10,4343
390,Roselia,-33,-37,-55,2,-18,-10,5911
391,Gulpin,-13,-54,-47,-55,-45,-35,11569
392,Swalot,17,-24,-17,-25,-15,-20,2404
393,Carvanha,-38,-7,-80,-33,-78,-10,15166
394,Sharpedo,-13,23,-60,-3,-58,20,8071
395,Sharpedo (Mega Sharpedo),-13,43,-30,12,-33,30,5051
396,Wailmer,47,-27,-65,-28,-63,-15,12141
397,Wailord,87,-7,-55,-8,-53,-15,13741
398,Numel,-23,-37,-60,-33,-53,-40,10996
399,Camerupt,-13,3,-30,7,-23,-35,2881
400,Camerupt (Mega Camerupt),-13,23,0,47,7,-55,5981
401,Torkoal,-13,-12,40,-13,-28,-55,5891
402,Spoink,-23,-72,-65,-28,-18,-15,11271
403,Grumpig,-3,-52,-35,-8,12,5,4171
404,Spinda,-23,-37,-40,-38,-38,-15,6611
405,Trapinch,-38,3,-55,-53,-53,-65,14321
406,Vibrava,-33,-27,-50,-48,-48,-5,8951
407,Flygon,-3,3,-20,-18,-18,25,1691
408,Cacnea,-33,-12,-60,-13,-58,-40,9966
409,Cacturne,-13,18,-40,17,-38,-20,4226
410,Swablu,-38,-57,-40,-58,-23,-25,10811
411,Altaria,-8,-27,-10,-28,7,5,1751
412,Altaria (Mega Altaria),-8,13,10,12,7,5,551
413,Zangoose,-10,18,-40,-38,-38,15,5137
414,Seviper,-10,3,-40,2,-38,-10,3257
415,Lunatone,7,-42,-35,-3,-13,-5,3241
416,Solrock,7,-2,-15,-43,-33,-5,3241
417,Barboach,-33,-49,-57,-52,-57,-15,12917
418,Whiscash,27,-19,-27,-22,-27,-15,3257
419,Corphish,-40,-17,-35,-48,-63,-40,10987
420,Crawdaunt,-20,23,-15,-8,-43,-20,3467
421,Baltoy,-43,-57,-45,-58,-28,-20,11671
422,Claydol,-23,-27,5,-28,22,0,2551
423,Lileep,-17,-56,-23,-37,-11,-52,8148
424,Cradily,3,-16,-3,-17,9,-32,1668
425,Anorith,-38,-2,-50,-58,-48,0,9616
426,Armaldo,-8,28,0,-28,-18,-30,2856
427,Feebas,-63,-82,-80,-88,-43,5,26711
428,Milotic,12,-37,-21,2,27,6,2723
429,Castform,-13,-27,-30,-28,-28,-5,3391
430,Kecleon,-23,-7,-30,-38,22,-35,4631
431,Shuppet,-39,-22,-65,-35,-65,-30,12580
432,Banette,-19,18,-35,-15,-35,-10,3460
433,Banette (Mega Banette),-19,68,-25,-5,-15,0,5860
434,Duskull,-63,-57,-10,-68,-8,-50,14506
435,Dusclops,-43,-27,30,-38,32,-50,8446
436,Tropius,16,-29,-17,-26,-11,-24,2759
437,Chimecho,-8,-47,-20,-3,-8,-10,2846
438,Absol,-18,33,-40,-23,-38,0,4986
439,Absol (Mega Absol),-18,53,-40,17,-38,40,8066
440,Wynaut,12,-74,-52,-75,-50,-52,19153
441,Snorunt,-33,-47,-50,-48,-48,-25,11031
442,Glalie,-3,-17,-20,-18,-18,5,1371
443,Glalie (Mega Glalie),-3,23,-20,22,-18,25,2371
444,Spheal,-13,-57,-50,-43,-48,-50,12571
445,Sealeo,7,-37,-30,-23,-28,-30,4531
446,Walrein,27,-17,-10,-3,-8,-10,1291
447,Clamperl,-48,-33,-15,-24,-43,-43,7892
448,Huntail,-28,7,5,-4,-23,-23,1932
449,Gorebyss,-28,-13,5,16,-23,-23,2292
450,Relicanth,17,-7,30,-53,-33,-20,5536
451,Luvdisc,-40,-67,-45,-58,-33,22,13051
452,Bagon,-38,-22,-40,-58,-68,-25,12141
453,Shelgon,-18,-2,0,-38,-48,-25,4701
454,Salamence,12,38,-20,12,-18,25,3081
455,Salamence (Mega Salamence),12,48,30,22,-8,45,5921
456,Beldum,-43,-42,-20,-63,-38,-45,11451
457,Metang,-23,-22,0,-43,-18,-25,3811
458,Metagross,-3,38,30,-3,-8,-5,2451
459,Metagross (Mega Metagross),-3,48,50,7,12,35,6231
460,Regirock,-3,3,100,-48,2,-25,12951
461,Regice,-3,-47,0,2,102,-25,13251
462,Registeel,-3,-22,50,-23,52,-25,6851
463,Latias,-3,-17,-10,12,32,35,2791
464,Latias (Mega Latias),-3,3,20,42,52,35,6111
465,Latios,-3,-7,-20,32,12,35,2851
466,Latios (Mega Latios),-3,33,0,62,22,35,6651
467,Kyogre,17,3,-10,52,42,15,5091
468,Kyogre (Primal Kyogre),17,53,-10,82,62,15,13991
469,Groudon,17,53,40,2,-8,15,4991
470,Groudon (Primal Groudon),17,83,60,52,-8,15,13771
471,Rayquaza,22,53,-10,52,-8,20,6561
472,Rayquaza (Mega Rayquaza),22,83,0,82,2,40,15701
473,Jirachi,17,3,0,2,2,25,931
474,Deoxys (Normal Forme),-33,53,-50,52,-48,75,17031
475,Deoxys (Attack Forme),-33,83,-80,82,-78,75,32811
476,Deoxys (Defense Forme),-33,-27,60,-28,62,15,10271
