Paul Bartenfeld vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
34,Raichu,-24,30,-5,23,1,22,2515
35,Raichu (Alolan Raichu),-24,25,-10,28,6,22,2605
36,Sandshrew,-34,15,25,-47,-49,-48,8920
37,Sandshrew (Alolan Sandshrew),-34,15,30,-57,-44,-48,9770
38,Sandslash,-9,40,50,-22,-24,-23,5770
39,Sandslash (Alolan Sandslash),-9,40,60,-42,-14,-23,7770
40,Nidoran♀,-29,-13,-8,-27,-39,-47,5533
41,Nidorina,-14,2,7,-12,-24,-32,1993
42,Nidoqueen,6,32,27,8,6,-12,2033
43,Nidoran♂,-38,-3,-20,-27,-39,-38,5547
44,Nidorino,-23,12,-3,-12,-24,-23,1931
45,Nidoking,-3,42,17,18,-4,-3,2411
46,Clefairy,-14,-15,-12,-7,-14,-53,3619
47,Clefable,11,10,13,28,11,-28,2079
48,Vulpix,-46,-19,-20,-17,-14,-23,3891
49,Vulpix (Alolan Vulpix),-46,-19,-20,-17,-14,-23,3891
50,Ninetales,-11,16,15,14,21,12,1383
51,Ninetales (Alolan Ninetales),-11,7,15,14,21,21,1473
52,Jigglypuff,31,-15,-40,-22,-54,-68,10810
53,Wigglytuff,56,10,-15,18,-29,-43,6475
54,Zubat,-44,-15,-25,-37,-39,-33,6765
55,Golbat,-9,20,10,-2,-4,2,605
56,Oddish,-39,-10,-5,8,-14,-58,5270
57,Gloom,-24,5,10,18,-4,-48,3345
58,Vileplume,-9,20,25,43,11,-38,4520
59,Paras,-49,10,-5,-22,-24,-63,7555
60,Parasect,-24,35,20,-7,1,-58,5615
61,Venonat,-24,-5,-10,-27,-24,-43,3855
62,Venomoth,-14,5,0,23,-4,2,770
63,Diglett,-74,-5,-35,-32,-34,7,8955
64,Diglett (Alolan Diglett),-74,-5,-30,-32,-34,2,8585
65,Dugtrio,-49,40,-10,-17,-9,32,5495
66,Dugtrio (Alolan Dugtrio),-49,40,0,-17,-9,22,4855
67,Meowth,-44,-15,-25,-27,-39,2,5040
68,Meowth (Alolan Meowth),-44,-25,-25,-17,-39,2,5000
69,Meowth (Galarian Meowth),-34,5,-5,-27,-39,-48,5760
70,Persian,-19,10,0,-2,-14,27,1390
71,Persian (Alolan Persian),-19,0,0,8,-14,27,1350
72,Psyduck,-34,-8,-12,-2,-29,-33,3298
73,Golduck,-4,22,18,28,1,-3,1618
74,Mankey,-44,20,-25,-32,-34,-18,5465
75,Primeape,-19,45,0,-7,-9,7,2565
76,Growlithe,-29,10,-15,3,-29,-28,2800
77,Growlithe (Hisuian Growlithe),-24,15,-15,-2,-29,-33,2960
78,Arcanine,6,50,20,33,1,7,4075
79,Arcanine (Hisuian Arcanine),11,55,20,28,1,2,4335
80,Poliwag,-44,-10,-20,-27,-39,2,4690
81,Poliwhirl,-19,5,5,-17,-29,2,1545
82,Poliwrath,6,35,35,3,11,-18,2940
83,Abra,-59,-40,-45,38,-24,2,9130
84,Kadabra,-44,-25,-30,53,-9,17,6640
85,Alakazam,-29,-10,-15,68,16,32,7070
86,Alakazam (Mega Alakazam),-29,-10,5,108,26,62,17150
87,Machop,-14,20,-10,-32,-44,-53,6465
88,Machoke,-4,40,10,-17,-19,-43,4215
89,Machamp,6,70,20,-2,6,-33,6465
90,Bellsprout,-34,15,-25,3,-49,-48,6720
91,Weepinbell,-19,30,-10,18,-34,-33,3930
92,Victreebel,-4,45,5,33,-9,-18,3560
93,Tentacool,-44,-20,-25,-17,21,-18,4015
94,Tentacruel,-4,10,5,13,41,12,2135
95,Geodude,-44,20,40,-37,-49,-68,12330
96,Geodude (Alolan Geodude),-44,20,40,-37,-49,-68,12330
97,Graveler,-29,35,55,-22,-34,-53,9540
98,Graveler (Alolan Graveler),-29,35,55,-22,-34,-53,9540
99,Golem,-4,60,70,-12,-14,-43,10705
100,Golem (Alolan Golem),-4,60,70,-12,-14,-43,10705
101,Ponyta,-34,25,-5,-2,-14,2,2010
102,Ponyta (Galarian Ponyta),-34,25,-5,-2,-14,2,2010
103,Rapidash,-19,40,10,13,1,17,2520
104,Rapidash (Galarian Rapidash),-19,40,10,13,1,17,2520
105,Slowpoke,6,5,5,-27,-39,-73,7665
106,Slowpoke (Galarian Slowpoke),6,5,5,-27,-39,-73,7665
107,Slowbro,11,15,50,33,1,-58,7300
108,Slowbro (Mega Slowbro),11,15,120,63,1,-58,22080
109,Slowbro (Galarian Slowbro),11,40,35,33,-9,-58,7480
110,Magnemite,-59,-25,10,28,-24,-43,7415
111,Magneton,-34,0,35,53,-9,-18,5595
112,Farfetch'd,-32,30,-5,-9,-17,-28,3103
113,Farfetch'd (Galarian Farfetch'd),-32,35,-5,-9,-17,-33,3733
114,Doduo,-49,25,-15,-32,-44,-13,6380
115,Dodrio,-24,50,10,-7,-19,22,4070
116,Seel,-19,-15,-5,-22,-9,-43,3025
117,Dewgong,6,10,20,3,16,-18,1125
118,Grimer,-4,20,-10,-27,-29,-63,6055
119,Grimer (Alolan Grimer),-4,20,-10,-27,-29,-63,6055
120,Muk,21,45,15,-2,21,-38,4580
121,Muk (Alolan Muk),21,45,15,-2,21,-38,4580
122,Shellder,-54,5,40,-22,-54,-48,10245
123,Cloyster,-34,35,120,18,-34,-18,18585
124,Gastly,-54,-25,-30,33,-44,-8,7530
125,Haunter,-39,-10,-15,48,-24,7,4775
126,Gengar,-24,5,0,63,-4,22,5070
127,Gengar (Mega Gengar),-24,5,20,103,16,42,13630
128,Onix,-49,-15,100,-37,-34,-18,15475
129,Drowzee,-24,-12,-15,-24,11,-46,3758
130,Hypno,1,13,10,6,36,-21,2043
131,Krabby,-54,45,30,-42,-54,-38,11965
132,Kingler,-29,70,55,-17,-29,-13,10065
133,Voltorb,-44,-30,-10,-12,-24,12,3800
134,Voltorb (Hisuian Voltorb),-44,-30,-10,-12,-24,12,3800
135,Electrode,-24,-10,10,13,1,62,4790
136,Electrode (Hisuian Electrode),-24,-10,10,13,1,62,4790
137,Exeggcute,-24,-20,20,-7,-34,-48,4885
138,Exeggutor,11,35,25,58,-4,-33,6440
139,Exeggutor (Alolan Exeggutor),11,45,25,58,-4,-43,8000
140,Cubone,-34,-10,35,-27,-29,-53,6860
141,Marowak,-24,20,50,-17,1,-43,5615
142,Marowak (Alolan Marowak),-24,20,50,-17,1,-43,5615
143,Hitmonlee,-34,60,-7,-32,31,-1,6791
144,Hitmonchan,-34,45,19,-32,31,-12,5671
145,Lickitung,6,-5,15,-7,-4,-58,3715
146,Koffing,-44,5,35,-7,-34,-53,7200
147,Weezing,-19,30,60,18,-9,-28,6050
148,Weezing (Galarian Weezing),-19,30,60,18,-9,-28,6050
149,Rhyhorn,-4,25,35,-37,-49,-63,9605
150,Rhydon,21,70,60,-22,-34,-48,12885
151,Chansey,166,-55,-55,-32,26,-38,36750
152,Tangela,-19,-5,55,33,-39,-28,6805
153,Kangaskhan,21,35,20,-27,1,2,2800
154,Kangaskhan (Mega Kangaskhan),21,65,40,-7,21,12,6900
155,Horsea,-54,-20,10,3,-54,-28,7125
156,Seadra,-29,5,35,28,-34,-3,4040
157,Goldeen,-39,7,0,-32,-29,-25,4060
158,Seaking,-4,32,5,-2,1,-20,1470
159,Staryu,-54,-15,-5,3,-24,-3,3760
160,Starmie,-24,15,25,33,6,27,3280
161,Mr. Mime,-44,-15,5,33,41,2,4960
162,Mr. Mime (Galarian Mr. Mime),-34,5,5,23,11,12,2000
163,Scyther,-14,50,20,-12,1,17,3530
164,Jynx,-19,-10,-25,48,16,7,3695
165,Electabuzz,-19,23,-3,28,6,17,2008
166,Magmar,-19,35,-3,33,6,5,2745
167,Pinsir,-19,65,40,-12,-9,-3,6420
168,Pinsir (Mega Pinsir),-19,95,60,-2,11,17,13400
169,Tauros,-9,40,35,-27,-9,22,4200
170,Tauros (Paldean Tauros (Combat Breed)),-9,50,45,-37,-9,12,6200
171,Tauros (Paldean Tauros (Blaze Breed)),-9,50,45,-37,-9,12,6200
172,Tauros (Paldean Tauros (Aqua Breed)),-9,50,45,-37,-9,12,6200
173,Magikarp,-64,-50,-5,-52,-59,-8,12870
174,Gyarados,11,65,19,-7,21,-7,5246
175,Gyarados (Mega Gyarados),11,95,49,3,51,-7,14206
176,Lapras,46,25,20,18,16,-28,4505
177,Ditto,-36,-12,-12,-19,-31,-40,4506
178,Eevee,-29,-5,-10,-22,-14,-33,2735
179,Eevee (Partner Eevee),-19,15,10,-2,6,-13,895
180,Vaporeon,46,5,0,43,16,-23,4775
181,Jolteon,-19,5,0,43,16,42,4255
182,Flareon,-19,70,0,28,31,-23,7535
183,Porygon,-19,0,10,18,-4,-48,3105
184,Omanyte,-49,-20,40,23,-24,-53,8315
185,Omastar,-14,0,65,48,-9,-33,7895
186,Kabuto,-54,20,30,-12,-34,-33,6605
187,Kabutops,-24,55,45,-2,-9,-8,5775
188,Aerodactyl,-4,45,5,-7,-4,42,3895
189,Aerodactyl (Mega Aerodactyl),-4,75,25,3,16,62,10375
190,Snorlax,76,50,5,-2,31,-58,12630
191,Articuno,6,25,40,28,46,-3,5170
192,Articuno (Galarian Articuno),6,25,25,58,21,7,5140
193,Zapdos,6,30,25,58,11,12,5190
194,Zapdos (Galarian Zapdos),6,65,30,18,11,12,5750
195,Moltres,6,40,30,58,6,2,5940
196,Moltres (Galarian Moltres),6,25,30,33,46,2,4770
197,Dratini,-43,4,-15,-17,-29,-38,4664
198,Dragonair,-23,24,5,3,-9,-18,1544
199,Dragonite,7,74,35,33,21,-8,8344
200,Mewtwo,22,50,30,87,11,42,13338
201,Mewtwo (Mega Mewtwo X),22,130,40,87,21,42,28758
202,Mewtwo (Mega Mewtwo Y),22,90,10,127,41,52,29198
203,Mew,16,40,40,33,21,12,5130
204,Chikorita,-39,-11,5,-18,-14,-43,4036
205,Bayleef,-24,2,20,-4,1,-28,1781
206,Meganium,-4,22,40,16,21,-8,2861
207,Cyndaquil,-45,-8,-17,-7,-29,-23,3797
208,Quilava,-26,4,-2,13,-14,-8,1125
209,Typhlosion,-6,24,18,42,6,12,2880
210,Typhlosion (Hisuian Typhlosion),-11,24,18,52,6,7,3810
211,Totodile,-34,5,4,-23,-31,-45,4712
212,Croconaw,-19,20,20,-8,-16,-30,2381
213,Feraligatr,1,45,40,12,4,-10,3886
214,Sentret,-49,-14,-26,-32,-34,-68,10077
215,Furret,1,16,4,-22,-24,2,1337
216,Hoothoot,-24,-30,-30,-31,-23,-38,5310
217,Noctowl,16,-10,-10,19,17,-18,1430
218,Ledyba,-44,-40,-30,-27,1,-33,6255
219,Ledian,-29,-25,-10,-12,31,-3,2680
220,Spinarak,-44,0,-20,-27,-39,-58,7950
221,Ariados,-14,30,10,-7,-9,-48,3630
222,Crobat,1,30,20,3,1,42,3075
223,Chinchou,-9,-22,-22,-11,-23,-21,2140
224,Lanturn,41,-2,-2,9,-3,-21,2220
225,Pichu,-64,-20,-45,-32,-44,-28,10265
226,Cleffa,-34,-35,-32,-22,-24,-73,9794
227,Igglybuff,6,-30,-45,-27,-59,-73,12500
228,Togepi,-49,-40,5,-27,-14,-68,9575
229,Togetic,-29,-20,25,13,26,-48,5015
230,Natu,-44,-10,-15,3,-34,-18,3750
231,Xatu,-19,15,10,28,-9,7,1600
232,Mareep,-29,-20,-20,-2,-34,-53,5610
233,Flaaffy,-14,-5,-5,13,-19,-43,2625
234,Ampharos,6,15,25,48,11,-33,4400
235,Ampharos (Mega Ampharos),6,35,45,98,31,-43,15700
236,Bellossom,-9,20,35,23,21,-38,4120
237,Marill,-14,-40,-10,-47,-29,-48,7250
238,Azumarill,16,-10,20,-7,1,-38,2250
239,Sudowoodo,-14,40,55,-37,-14,-58,9750
240,Politoed,6,15,15,23,21,-18,1780
241,Hoppip,-49,-25,-20,-32,-24,-38,6470
242,Skiploom,-29,-15,-10,-22,-14,-8,1910
243,Jumpluff,-9,-5,10,-12,16,22,1090
244,Aipom,-29,10,-5,-27,-24,-3,2280
245,Sunkern,-54,-30,-30,-37,-49,-58,11850
246,Sunflora,-9,15,-5,38,6,-58,5175
247,Yanma,-19,5,-15,8,-34,7,1880
248,Wooper,-29,-15,-15,-42,-54,-73,11300
249,Wooper (Paldean Wooper),-29,-15,-15,-42,-54,-73,11300
250,Quagsire,11,25,25,-2,-14,-53,4380
251,Espeon,-19,5,0,63,16,22,5095
252,Umbreon,11,5,50,-7,51,-23,5825
253,Murkrow,-24,25,-18,18,-37,3,3227
254,Slowking,11,15,20,33,31,-58,6160
255,Slowking (Galarian Slowking),11,5,20,43,31,-58,6720
256,Misdreavus,-24,0,0,18,6,-3,945
257,Unown,-36,12,-12,5,-31,-40,4170
258,Wobbuffet,106,-27,-2,-34,-21,-55,16591
259,Girafarig,-14,20,5,23,-14,-3,1355
260,Pineco,-34,5,30,-32,-44,-73,10370
261,Forretress,-9,30,80,-7,-19,-48,10095
262,Dunsparce,16,10,10,-2,-14,-43,2505
263,Gligar,-19,15,45,-32,-14,-3,3840
264,Steelix,-9,25,140,-12,-14,-58,24010
265,Steelix (Mega Steelix),-9,65,170,-12,16,-58,36970
266,Snubbull,-24,20,-10,-27,-39,-58,6690
267,Granbull,6,60,15,-7,-19,-43,6120
268,Qwilfish,-19,35,25,-12,-24,-3,2940
269,Qwilfish (Hisuian Qwilfish),-19,35,25,-12,-24,-3,2940
270,Scizor,-14,70,40,-12,1,-23,7370
271,Scizor (Mega Scizor),-14,90,80,-2,21,-13,15310
272,Shuckle,-64,-50,170,-57,151,-83,68435
273,Heracross,-4,65,15,-27,16,-3,5460
274,Heracross (Mega Heracross),-4,125,55,-27,26,-13,20240
275,Sneasel,-29,35,-5,-32,-4,27,3860
276,Sneasel (Hisuian Sneasel),-29,35,-5,-32,-4,27,3860
277,Teddiursa,-24,20,-10,-17,-29,-48,4510
278,Ursaring,6,70,15,8,-4,-33,6330
279,Slugma,-44,-20,-20,3,-39,-68,8890
280,Magcargo,-24,-10,60,23,1,-58,8170
281,Swinub,-34,-10,-20,-37,-49,-38,6870
282,Piloswine,16,40,20,-7,-19,-38,4110
283,Corsola,-19,-5,35,-2,16,-53,4680
284,Corsola (Galarian Corsola),-24,-5,40,-2,21,-58,6010
285,Remoraid,-49,5,-25,-2,-44,-23,5520
286,Octillery,-9,45,15,38,-4,-43,5640
287,Delibird,-39,-5,-15,-2,-34,-13,3100
288,Mantine,1,-20,10,13,61,-18,4715
289,Skarmory,-19,20,80,-27,-9,-18,8295
290,Houndour,-39,0,-30,13,-29,-23,3960
291,Houndoom,-9,30,-10,43,1,7,2980
292,Houndoom (Mega Houndoom),-9,30,30,73,11,27,8060
293,Kingdra,-9,35,35,28,16,-3,3580
294,Phanpy,6,0,0,-27,-39,-48,4590
295,Donphan,6,60,60,-7,-19,-38,9090
296,Porygon2,1,20,30,38,16,-28,3785
297,Stantler,-11,35,2,18,-14,-3,1879
298,Smeargle,-29,-40,-25,-47,-34,-13,6600
299,Tyrogue,-49,-25,-25,-32,-44,-53,9420
300,Hitmontop,-34,35,35,-32,31,-18,5915
301,Smoochum,-39,-30,-45,18,-14,-23,5495
302,Elekid,-39,3,-23,-2,-24,7,2688
303,Magby,-39,15,-23,3,-24,-5,2885
304,Miltank,11,20,45,-27,-9,12,3500
305,Blissey,171,-50,-50,8,56,-33,38530
306,Raikou,6,25,15,48,21,27,4360
307,Entei,31,55,25,23,-4,12,5300
308,Suicune,16,15,55,23,36,-3,5340
309,Larvitar,-34,4,-10,-22,-29,-47,4806
310,Pupitar,-14,24,10,-2,-9,-37,2326
311,Tyranitar,16,74,50,28,21,-27,10186
312,Tyranitar (Mega Tyranitar),16,104,90,28,41,-17,21926
313,Lugia,22,30,70,23,75,22,12922
314,Ho-Oh,22,70,30,43,75,2,13762
315,Celebi,16,40,40,33,21,12,5130
316,Treecko,-44,-15,-25,-2,-24,-18,3690
317,Grovyle,-34,5,-15,18,-14,7,1975
318,Sceptile,-14,25,5,38,6,32,3350
319,Sceptile (Mega Sceptile),-14,50,15,78,6,57,12290
320,Torchic,-39,0,-20,3,-29,-43,4620
321,Combusken,-24,25,0,18,-19,-33,2975
322,Blaziken,-4,60,10,43,-9,-8,5710
323,Blaziken (Mega Blaziken),-4,100,20,63,1,12,14530
324,Mudkip,-34,10,-10,-17,-29,-48,4790
325,Marshtomp,-14,25,10,-7,-9,-38,2495
326,Swampert,16,50,30,18,11,-28,4885
327,Swampert (Mega Swampert),16,90,50,28,31,-18,12925
328,Poochyena,-49,-5,-25,-37,-49,-53,9630
329,Mightyena,-14,30,10,-7,-19,-18,1930
330,Zigzagoon,-46,-30,-19,-37,-38,-28,6974
331,Zigzagoon (Galarian Zigzagoon),-46,-30,-19,-37,-38,-28,6974
332,Linoone,-6,10,1,-17,-18,12,894
333,Linoone (Galarian Linoone),-6,10,1,-17,-18,12,894
334,Wurmple,-39,-15,-25,-47,-49,-68,11605
335,Silcoon,-34,-25,-5,-42,-54,-73,11815
336,Beautifly,-24,10,-10,33,-29,-23,3235
337,Cascoon,-34,-25,-5,-42,-54,-73,11815
338,Dustox,-24,-10,10,-17,11,-23,1715
339,Lotad,-44,-30,-30,-27,-29,-58,8670
340,Lombre,-24,-10,-10,-7,-9,-38,2350
341,Ludicolo,-4,10,10,23,21,-18,1510
342,Seedot,-44,-20,-10,-37,-49,-58,9570
343,Nuzleaf,-14,10,-20,-7,-39,-28,3050
344,Shiftry,6,40,0,23,-19,-8,2590
345,Taillow,-44,-5,-30,-37,-49,-3,6640
346,Swellow,-24,25,0,8,-29,37,3475
347,Wingull,-44,-30,-30,-12,-49,-3,6290
348,Pelipper,-24,-10,40,28,-9,-23,3670
349,Ralts,-56,-35,-35,-22,-44,-48,10310
350,Kirlia,-46,-25,-25,-2,-24,-38,5390
351,Gardevoir,-16,5,5,58,36,-8,5030
352,Gardevoir (Mega Gardevoir),-16,25,5,98,56,12,13790
353,Surskit,-44,-30,-28,-17,-27,-23,5167
354,Masquerain,-14,0,2,33,3,-8,1362
355,Shroomish,-24,-20,0,-27,-19,-53,4875
356,Breloom,-24,70,20,-7,-19,-18,6610
357,Slakoth,-24,0,0,-32,-44,-58,6900
358,Vigoroth,-4,20,20,-12,-24,2,1540
359,Slaking,66,100,40,28,-14,12,17080
360,Nincada,-53,-15,30,-37,-49,-48,10008
361,Ninjask,-23,30,-15,-17,-29,72,7968
362,Shedinja,-83,30,-15,-37,-49,-48,14088
363,Whismur,-20,-9,-37,-16,-56,-60,8842
364,Loudred,0,11,-17,4,-36,-40,3322
365,Exploud,20,31,3,24,-6,-20,2382
366,Makuhita,-12,0,-30,-47,-49,-63,9623
367,Hariyama,60,60,0,-27,-19,-38,9734
368,Azurill,-34,-40,-20,-47,-39,-68,11510
369,Nosepass,-54,-15,75,-22,11,-58,12735
370,Skitty,-34,-15,-15,-32,-44,-38,6010
371,Delcatty,-14,5,5,-12,-24,2,970
372,Sableye,-34,15,15,-2,-14,-38,3250
373,Sableye (Mega Sableye),-34,25,65,18,36,-68,12250
374,Mawile,-34,25,25,-12,-24,-38,4570
375,Mawile (Mega Mawile),-34,45,65,-12,16,-38,9250
376,Aron,-34,10,40,-27,-39,-58,8470
377,Lairon,-24,30,80,-17,-29,-48,11310
378,Aggron,-14,50,120,-7,-19,-38,18950
379,Aggron (Mega Aggron),-14,80,170,-7,1,-38,36990
380,Meditite,-54,-20,-5,-27,-24,-28,5430
381,Medicham,-24,0,15,-7,-4,-8,930
382,Medicham (Mega Medicham),-24,40,25,13,6,12,3150
383,Electrike,-44,-15,-20,-2,-39,-23,4615
384,Manectric,-14,15,0,38,-19,17,2515
385,Manectric (Mega Manectric),-14,15,20,68,1,47,7655
386,Plusle,-24,-10,-20,18,-4,7,1465
387,Minun,-24,-20,-10,8,6,7,1225
388,Volbeat,-19,13,15,-20,6,-3,1200
389,Illumise,-19,-13,15,6,6,-3,836
390,Roselia,-34,0,-15,33,1,-23,3000
391,Gulpin,-14,-17,-7,-24,-26,-48,4090
392,Swalot,16,13,23,6,4,-33,2095
393,Carvanha,-39,30,-40,-2,-59,-23,8035
394,Sharpedo,-14,60,-20,28,-39,7,6550
395,Sharpedo (Mega Sharpedo),-14,80,10,43,-14,17,9030
396,Wailmer,46,10,-25,3,-44,-28,5570
397,Wailord,86,30,-15,23,-34,-28,10990
398,Numel,-24,0,-20,-2,-34,-53,4945
399,Camerupt,-14,40,10,38,-4,-48,5660
400,Camerupt (Mega Camerupt),-14,60,40,78,26,-68,16780
401,Torkoal,-14,25,80,18,-9,-68,12250
402,Spoink,-24,-35,-25,3,1,-28,3220
403,Grumpig,-4,-15,5,23,31,-8,1820
404,Spinda,-24,0,0,-7,-19,-28,1770
405,Trapinch,-39,40,-15,-22,-34,-78,11070
406,Vibrava,-34,10,-10,-17,-29,-18,2810
407,Flygon,-4,40,20,13,1,12,2330
408,Cacnea,-34,25,-20,18,-39,-53,6835
409,Cacturne,-14,55,0,48,-19,-33,6975
410,Swablu,-39,-20,0,-27,-4,-38,4110
411,Altaria,-9,10,30,3,26,-8,1830
412,Altaria (Mega Altaria),-9,50,50,43,26,-8,7670
413,Zangoose,-11,55,0,-7,-19,2,3560
414,Seviper,-11,40,0,33,-19,-23,3700
415,Lunatone,6,-5,5,28,6,-18,1230
416,Solrock,6,35,25,-12,-14,-18,2550
417,Barboach,-34,-12,-17,-21,-38,-28,4258
418,Whiscash,26,18,13,9,-8,-28,2098
419,Corphish,-41,20,5,-17,-44,-53,7140
420,Crawdaunt,-21,60,25,23,-24,-33,6860
421,Baltoy,-44,-20,-5,-27,-9,-33,4260
422,Claydol,-24,10,45,3,41,-13,4560
423,Lileep,-18,-19,17,-6,8,-65,5299
424,Cradily,2,21,37,14,28,-45,4819
425,Anorith,-39,35,-10,-27,-29,-13,4585
426,Armaldo,-9,65,40,3,1,-43,7765
427,Feebas,-64,-45,-40,-57,-24,-8,11610
428,Milotic,11,0,19,33,46,-7,3736
429,Castform,-14,10,10,3,-9,-18,810
430,Kecleon,-24,30,10,-7,41,-48,5610
431,Shuppet,-40,15,-25,-4,-46,-43,6431
432,Banette,-20,55,5,16,-16,-23,4491
433,Banette (Mega Banette),-20,105,15,26,4,-13,12511
434,Duskull,-64,-20,30,-37,11,-63,10855
435,Dusclops,-44,10,70,-7,51,-63,13555
436,Tropius,15,8,23,5,8,-37,2276
437,Chimecho,-9,-10,20,28,11,-23,2015
438,Absol,-19,70,0,8,-19,-13,5855
439,Absol (Mega Absol),-19,90,0,48,-19,27,11855
440,Wynaut,11,-37,-12,-44,-31,-65,8756
441,Snorunt,-34,-10,-10,-17,-29,-38,3930
442,Glalie,-4,20,20,13,1,-8,1050
443,Glalie (Mega Glalie),-4,60,20,53,1,12,6970
444,Spheal,-14,-20,-10,-12,-29,-63,5650
445,Sealeo,6,0,10,8,-9,-43,2130
446,Walrein,26,20,30,28,11,-23,3410
447,Clamperl,-49,4,25,7,-24,-56,6803
448,Huntail,-29,44,45,27,-4,-36,6843
449,Gorebyss,-29,24,45,47,-4,-36,6963
450,Relicanth,16,30,70,-22,-14,-33,7825
451,Luvdisc,-41,-30,-5,-27,-14,9,3612
452,Bagon,-39,15,0,-27,-49,-38,6320
453,Shelgon,-19,35,40,-7,-29,-38,5520
454,Salamence,11,75,20,43,1,12,8140
455,Salamence (Mega Salamence),11,85,70,53,11,32,16200
456,Beldum,-44,-5,20,-32,-19,-58,7110
457,Metang,-24,15,40,-12,1,-38,3990
458,Metagross,-4,75,70,28,11,-18,11770
459,Metagross (Mega Metagross),-4,85,90,38,31,22,18230
460,Regirock,-4,40,140,-17,21,-38,23390
461,Regice,-4,-10,40,33,121,-38,18890
462,Registeel,-4,15,90,8,71,-38,14890
463,Latias,-4,20,30,43,51,22,6250
464,Latias (Mega Latias),-4,40,60,73,71,22,16070
465,Latios,-4,30,20,63,31,22,6730
466,Latios (Mega Latios),-4,70,40,93,41,22,17330
467,Kyogre,16,40,30,83,61,2,13370
468,Kyogre (Primal Kyogre),16,90,30,113,81,2,28590
469,Groudon,16,90,80,33,11,2,15970
470,Groudon (Primal Groudon),16,120,100,83,11,2,31670
471,Rayquaza,21,90,30,83,11,7,16500
472,Rayquaza (Mega Rayquaza),21,120,40,113,21,27,30380
473,Jirachi,16,40,40,33,21,12,5130
474,Deoxys (Normal Forme),-34,90,-10,83,-29,62,20930
475,Deoxys (Attack Forme),-34,120,-40,113,-59,62,37250
476,Deoxys (Defense Forme),-34,10,100,3,81,2,17830
477,Deoxys (Speed Forme),-34,35,30,28,11,92,12650
478,Turtwig,-29,8,4,-22,-24,-57,5230
479,Grotle,-9,29,25,-12,-14,-52,4591
480,Torterra,11,49,45,8,6,-32,5671
481,Chimchar,-40,-2,-16,-9,-35,-27,3895
482,Monferno,-20,18,-8,11,-27,-7,1687
483,Infernape,-8,44,11,37,-8,20,3954
484,Piplup,-31,-9,-7,-6,-23,-48,3960
485,Prinplup,-20,6,8,14,-3,-38,2149
486,Empoleon,0,26,28,44,22,-28,4664
487,Starly,-44,-5,-30,-37,-49,-28,7415
488,Staravia,-29,15,-10,-27,-39,-8,3480
489,Staraptor,1,60,10,-17,-19,12,4495
490,Bidoof,-25,-15,-20,-32,-39,-57,7044
491,Bibarel,-5,25,0,-12,-19,-17,1444
492,Kricketot,-47,-35,-19,-42,-38,-63,10972
493,Kricketune,-7,25,-9,-12,-28,-23,2212
494,Shinx,-39,5,-26,-27,-45,-43,6825
495,Luxio,-24,25,-11,-7,-30,-28,3055
496,Luxray,-4,60,19,28,0,-18,5085
497,Budew,-44,-30,-25,-17,-9,-33,4920
498,Roserade,-24,10,5,58,26,2,4745
499,Cranidos,-17,65,-20,-37,-49,-30,9584
