Gabe Silverstein vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
37,Sandshrew (Alolan Sandshrew),-39,-26,-4,-95,-70,-18,16462
38,Sandslash,-14,-1,16,-60,-50,7,6602
39,Sandslash (Alolan Sandslash),-14,-1,26,-80,-40,7,8922
40,Nidoran♀,-34,-54,-42,-65,-65,-17,14575
41,Nidorina,-19,-39,-27,-50,-50,-2,7615
42,Nidoqueen,1,-9,-7,-30,-20,18,1755
43,Nidoran♂,-43,-44,-54,-65,-65,-8,15215
44,Nidorino,-28,-29,-37,-50,-50,7,8043
45,Nidoking,-8,1,-17,-20,-30,27,2383
46,Clefairy,-19,-56,-46,-45,-40,-23,9767
47,Clefable,6,-31,-21,-10,-15,2,1767
48,Vulpix,-51,-60,-54,-55,-40,7,13791
49,Vulpix (Alolan Vulpix),-51,-60,-54,-55,-40,7,13791
50,Ninetales,-16,-25,-19,-24,-5,42,3607
51,Ninetales (Alolan Ninetales),-16,-34,-19,-24,-5,51,4975
52,Jigglypuff,26,-56,-74,-60,-80,-38,20732
53,Wigglytuff,51,-31,-49,-20,-55,-13,9557
54,Zubat,-49,-56,-59,-75,-65,-3,18877
55,Golbat,-14,-21,-24,-40,-30,32,4737
56,Oddish,-44,-51,-39,-30,-40,-28,9342
57,Gloom,-29,-36,-24,-20,-30,-18,4337
58,Vileplume,-14,-21,-9,5,-15,-8,1032
59,Paras,-54,-31,-39,-60,-50,-33,12587
60,Parasect,-29,-6,-14,-45,-25,-28,4507
61,Venonat,-29,-46,-44,-65,-50,-13,11787
62,Venomoth,-19,-36,-34,-15,-30,32,4962
63,Diglett,-79,-46,-69,-70,-60,37,22987
64,Diglett (Alolan Diglett),-79,-46,-64,-70,-60,32,21977
65,Dugtrio,-54,-1,-44,-55,-35,62,12947
66,Dugtrio (Alolan Dugtrio),-54,-1,-34,-55,-35,52,11027
67,Meowth,-49,-56,-59,-65,-65,32,18492
68,Meowth (Alolan Meowth),-49,-66,-59,-55,-65,32,18512
69,Meowth (Galarian Meowth),-39,-36,-39,-65,-65,-18,13112
70,Persian,-24,-31,-34,-40,-40,57,9142
71,Persian (Alolan Persian),-24,-41,-34,-30,-40,57,9162
72,Psyduck,-39,-49,-46,-40,-55,-3,10672
73,Golduck,-9,-19,-16,-10,-25,27,2152
74,Mankey,-49,-21,-59,-70,-60,12,14967
75,Primeape,-24,4,-34,-45,-35,37,6367
76,Growlithe,-34,-31,-49,-35,-55,2,8772
77,Growlithe (Hisuian Growlithe),-29,-26,-49,-40,-55,-3,8552
78,Arcanine,1,9,-14,-5,-25,37,2297
79,Arcanine (Hisuian Arcanine),6,14,-14,-10,-25,32,2177
80,Poliwag,-49,-51,-54,-65,-65,32,17392
81,Poliwhirl,-24,-36,-29,-55,-55,32,9787
82,Poliwrath,1,-6,1,-35,-15,12,1632
83,Abra,-64,-81,-79,0,-50,32,20422
84,Kadabra,-49,-66,-64,15,-35,47,14512
85,Alakazam,-34,-51,-49,30,-10,62,11002
86,Alakazam (Mega Alakazam),-34,-51,-29,70,0,92,17962
87,Machop,-19,-21,-44,-70,-70,-23,13067
88,Machoke,-9,-1,-24,-55,-45,-13,5877
89,Machamp,1,29,-14,-40,-20,-3,3047
90,Bellsprout,-39,-26,-59,-35,-75,-18,12852
91,Weepinbell,-24,-11,-44,-20,-60,-3,6642
92,Victreebel,-9,4,-29,-5,-35,12,2332
93,Tentacool,-49,-61,-59,-55,-5,12,12797
94,Tentacruel,-9,-31,-29,-25,15,42,4497
95,Geodude,-49,-21,6,-75,-75,-38,15572
96,Geodude (Alolan Geodude),-49,-21,6,-75,-75,-38,15572
97,Graveler,-34,-6,21,-60,-60,-23,9362
98,Graveler (Alolan Graveler),-34,-6,21,-60,-60,-23,9362
99,Golem,-9,19,36,-50,-40,-13,6007
100,Golem (Alolan Golem),-9,19,36,-50,-40,-13,6007
101,Ponyta,-39,-16,-39,-40,-40,32,7522
102,Ponyta (Galarian Ponyta),-39,-16,-39,-40,-40,32,7522
103,Rapidash,-24,-1,-24,-25,-25,47,4612
104,Rapidash (Galarian Rapidash),-24,-1,-24,-25,-25,47,4612
105,Slowpoke,1,-36,-29,-65,-65,-43,12437
106,Slowpoke (Galarian Slowpoke),1,-36,-29,-65,-65,-43,12437
107,Slowbro,6,-26,16,-5,-25,-28,2402
108,Slowbro (Mega Slowbro),6,-26,86,25,-25,-28,10142
109,Slowbro (Galarian Slowbro),6,-1,1,-5,-35,-28,2072
110,Magnemite,-64,-66,-24,-10,-50,-13,11797
111,Magneton,-39,-41,1,15,-35,12,4797
112,Farfetch'd,-37,-11,-39,-47,-43,2,7073
113,Farfetch'd (Galarian Farfetch'd),-37,-6,-39,-47,-43,-3,6993
114,Doduo,-54,-16,-49,-70,-70,17,15662
115,Dodrio,-29,9,-24,-45,-45,52,8252
116,Seel,-24,-56,-39,-60,-35,-13,10227
117,Dewgong,1,-31,-14,-35,-10,12,2627
118,Grimer,-9,-21,-44,-65,-55,-33,10797
119,Grimer (Alolan Grimer),-9,-21,-44,-65,-55,-33,10797
120,Muk,16,4,-19,-40,-5,-8,2322
121,Muk (Alolan Muk),16,4,-19,-40,-5,-8,2322
122,Shellder,-59,-36,6,-60,-80,-18,15137
123,Cloyster,-39,-6,86,-20,-60,12,13097
124,Gastly,-59,-66,-64,-5,-70,22,17342
125,Haunter,-44,-51,-49,10,-50,37,10907
126,Gengar,-29,-36,-34,25,-30,52,7522
127,Gengar (Mega Gengar),-29,-36,-14,65,-10,72,11842
128,Onix,-54,-56,66,-75,-60,12,19777
129,Drowzee,-29,-53,-49,-62,-15,-16,10376
130,Hypno,-4,-28,-24,-32,10,9,2581
131,Krabby,-59,4,-4,-80,-80,-8,16377
132,Kingler,-34,29,21,-55,-55,17,8777
133,Voltorb,-49,-71,-44,-50,-50,42,16142
134,Voltorb (Hisuian Voltorb),-49,-71,-44,-50,-50,42,16142
135,Electrode,-29,-51,-24,-25,-25,92,13732
136,Electrode (Hisuian Electrode),-29,-51,-24,-25,-25,92,13732
137,Exeggcute,-29,-61,-14,-45,-60,-18,10707
138,Exeggutor,6,-6,-9,20,-30,-3,1462
139,Exeggutor (Alolan Exeggutor),6,4,-9,20,-30,-13,1602
140,Cubone,-39,-51,1,-65,-55,-23,11902
141,Marowak,-29,-21,16,-55,-25,-13,5357
142,Marowak (Alolan Marowak),-29,-21,16,-55,-25,-13,5357
143,Hitmonlee,-39,19,-41,-70,5,29,9329
144,Hitmonchan,-39,4,-15,-70,5,18,7011
145,Lickitung,1,-46,-19,-45,-30,-28,6187
146,Koffing,-49,-36,1,-45,-60,-23,9852
147,Weezing,-24,-11,26,-20,-35,2,3002
148,Weezing (Galarian Weezing),-24,-11,26,-20,-35,2,3002
149,Rhyhorn,-9,-16,1,-75,-75,-33,12677
150,Rhydon,16,29,26,-60,-60,-18,9297
151,Chansey,161,-96,-89,-70,0,-8,48022
152,Tangela,-24,-46,21,-5,-65,2,7387
153,Kangaskhan,16,-6,-14,-65,-25,32,6362
154,Kangaskhan (Mega Kangaskhan),16,24,6,-45,-5,42,4682
155,Horsea,-59,-61,-24,-35,-80,2,15407
156,Seadra,-34,-36,1,-10,-60,27,6882
157,Goldeen,-44,-34,-34,-70,-55,5,12198
158,Seaking,-9,-9,-29,-40,-25,10,3328
159,Staryu,-59,-56,-39,-35,-50,27,12592
160,Starmie,-29,-26,-9,-5,-20,57,5272
161,Mr. Mime,-49,-56,-29,-5,15,32,7652
162,Mr. Mime (Galarian Mr. Mime),-39,-36,-29,-15,-15,42,5872
163,Scyther,-19,9,-14,-50,-25,47,5972
164,Jynx,-24,-51,-59,10,-10,37,8227
165,Electabuzz,-24,-18,-37,-10,-20,47,4978
166,Magmar,-24,-6,-37,-5,-20,35,3631
167,Pinsir,-24,24,6,-50,-35,27,5642
168,Pinsir (Mega Pinsir),-24,54,26,-40,-15,47,8202
169,Tauros,-14,-1,1,-65,-35,52,8352
170,Tauros (Paldean Tauros (Combat Breed)),-14,9,11,-75,-35,42,9012
171,Tauros (Paldean Tauros (Blaze Breed)),-14,9,11,-75,-35,42,9012
172,Tauros (Paldean Tauros (Aqua Breed)),-14,9,11,-75,-35,42,9012
173,Magikarp,-69,-91,-39,-90,-85,22,30372
174,Gyarados,6,24,-15,-45,-5,23,3416
175,Gyarados (Mega Gyarados),6,54,15,-35,25,23,5556
176,Lapras,41,-16,-14,-20,-10,2,2637
177,Ditto,-41,-53,-46,-57,-57,-10,13204
178,Eevee,-34,-46,-44,-60,-40,-3,10417
179,Eevee (Partner Eevee),-24,-26,-24,-40,-20,17,4117
180,Vaporeon,41,-36,-34,5,-10,7,4307
181,Jolteon,-24,-36,-34,5,-10,72,8337
182,Flareon,-24,29,-34,-10,5,7,2747
183,Porygon,-24,-41,-24,-20,-30,-18,4457
184,Omanyte,-54,-61,6,-15,-50,-23,9927
185,Omastar,-19,-41,31,10,-35,-3,4337
186,Kabuto,-59,-21,-4,-50,-60,-3,10047
187,Kabutops,-29,14,11,-40,-35,22,4467
188,Aerodactyl,-9,4,-29,-45,-30,72,9047
189,Aerodactyl (Mega Aerodactyl),-9,34,-9,-35,-10,92,11107
190,Snorlax,71,9,-29,-40,5,-28,8372
191,Articuno,1,-16,6,-10,20,27,1522
192,Articuno (Galarian Articuno),1,-16,-9,20,-5,37,2132
193,Zapdos,1,-11,-9,20,-15,42,2592
194,Zapdos (Galarian Zapdos),1,24,-4,-20,-15,42,2982
195,Moltres,1,-1,-4,20,-20,32,1842
196,Moltres (Galarian Moltres),1,-16,-4,-5,20,32,1722
197,Dratini,-48,-37,-49,-55,-55,-8,12188
198,Dragonair,-28,-17,-29,-35,-35,12,4508
199,Dragonite,2,33,1,-5,-5,22,1628
200,Mewtwo,17,9,-4,49,-15,72,8196
201,Mewtwo (Mega Mewtwo X),17,89,6,49,-5,72,15856
202,Mewtwo (Mega Mewtwo Y),17,49,-24,89,15,82,18136
203,Mew,11,-1,6,-5,-5,42,1972
204,Chikorita,-44,-52,-29,-56,-40,-13,10386
205,Bayleef,-29,-39,-14,-42,-25,2,4951
206,Meganium,-9,-19,6,-22,-5,22,1471
207,Cyndaquil,-50,-49,-51,-45,-55,7,12601
208,Quilava,-31,-37,-36,-25,-40,22,6335
209,Typhlosion,-11,-17,-16,4,-20,42,2846
210,Typhlosion (Hisuian Typhlosion),-16,-17,-16,14,-20,37,2766
211,Totodile,-39,-36,-30,-61,-57,-15,10912
212,Croconaw,-24,-21,-14,-46,-42,0,5093
213,Feraligatr,-4,4,6,-26,-22,20,1628
214,Sentret,-54,-55,-60,-70,-60,-38,19485
215,Furret,-4,-25,-30,-60,-50,32,8665
216,Hoothoot,-29,-71,-64,-69,-49,-8,17204
217,Noctowl,11,-51,-44,-19,-9,12,5244
218,Ledyba,-49,-81,-64,-65,-25,-3,17917
219,Ledian,-34,-66,-44,-50,5,27,10702
220,Spinarak,-49,-41,-54,-65,-65,-28,16232
221,Ariados,-19,-11,-24,-45,-35,-18,4632
222,Crobat,-4,-11,-14,-35,-25,72,7367
223,Chinchou,-14,-63,-56,-49,-49,9,12184
224,Lanturn,36,-43,-36,-29,-29,9,6204
225,Pichu,-69,-61,-79,-70,-70,2,24527
226,Cleffa,-39,-76,-66,-60,-50,-43,19602
227,Igglybuff,1,-71,-79,-65,-85,-43,24582
228,Togepi,-54,-81,-29,-65,-40,-38,17587
229,Togetic,-34,-61,-9,-25,0,-18,5907
230,Natu,-49,-51,-49,-35,-60,12,12372
231,Xatu,-24,-26,-24,-10,-35,37,4522
232,Mareep,-34,-61,-54,-40,-60,-23,13522
233,Flaaffy,-19,-46,-39,-25,-45,-13,6817
234,Ampharos,1,-26,-9,10,-15,-3,1092
235,Ampharos (Mega Ampharos),1,-6,11,60,5,-13,3952
236,Bellossom,-14,-21,1,-15,-5,-8,952
237,Marill,-19,-81,-44,-85,-55,-18,19432
238,Azumarill,11,-51,-14,-45,-25,-8,5632
239,Sudowoodo,-19,-1,21,-75,-40,-28,8812
240,Politoed,1,-26,-19,-15,-5,12,1432
241,Hoppip,-54,-66,-54,-70,-50,-8,17652
242,Skiploom,-34,-56,-44,-60,-40,22,11912
243,Jumpluff,-14,-46,-24,-50,-10,52,8192
244,Aipom,-34,-31,-39,-65,-50,27,11092
245,Sunkern,-59,-71,-64,-75,-75,-28,24652
246,Sunflora,-14,-26,-39,0,-20,-28,3577
247,Yanma,-24,-36,-49,-30,-60,37,10142
248,Wooper,-34,-56,-49,-80,-80,-43,21342
249,Wooper (Paldean Wooper),-34,-56,-49,-80,-80,-43,21342
250,Quagsire,6,-16,-9,-40,-40,-23,4102
251,Espeon,-24,-36,-34,25,-10,52,6457
252,Umbreon,6,-36,16,-45,25,7,4287
253,Murkrow,-29,-16,-52,-20,-63,33,9259
254,Slowking,6,-26,-14,-5,5,-28,1742
255,Slowking (Galarian Slowking),6,-36,-14,5,5,-28,2362
256,Misdreavus,-29,-41,-34,-20,-20,27,5207
257,Unown,-41,-29,-46,-33,-57,-10,9076
258,Wobbuffet,101,-68,-36,-72,-47,-25,24139
259,Girafarig,-19,-21,-29,-15,-40,27,4197
260,Pineco,-39,-36,-4,-70,-70,-43,14482
261,Forretress,-14,-11,46,-45,-45,-18,6807
262,Dunsparce,11,-31,-24,-40,-40,-13,5027
263,Gligar,-24,-26,11,-70,-40,27,8602
264,Steelix,-14,-16,106,-50,-40,-28,16572
265,Steelix (Mega Steelix),-14,24,136,-50,-10,-28,22652
266,Snubbull,-29,-21,-44,-65,-65,-28,12452
267,Granbull,1,19,-19,-45,-45,-13,4942
268,Qwilfish,-24,-6,-9,-50,-50,27,6422
269,Qwilfish (Hisuian Qwilfish),-24,-6,-9,-50,-50,27,6422
270,Scizor,-19,29,6,-50,-25,7,4412
271,Scizor (Mega Scizor),-19,49,46,-40,-5,17,6792
272,Shuckle,-69,-91,136,-95,125,-53,58997
273,Heracross,-9,24,-19,-65,-10,27,6072
274,Heracross (Mega Heracross),-9,84,21,-65,0,17,12092
275,Sneasel,-34,-6,-39,-70,-30,57,11762
276,Sneasel (Hisuian Sneasel),-34,-6,-39,-70,-30,57,11762
277,Teddiursa,-29,-21,-44,-55,-55,-18,9592
278,Ursaring,1,29,-19,-30,-30,-3,3012
279,Slugma,-49,-61,-54,-35,-65,-38,15932
280,Magcargo,-29,-51,26,-15,-25,-28,5752
281,Swinub,-39,-51,-54,-75,-75,-8,18352
282,Piloswine,11,-1,-14,-45,-45,-8,4432
283,Corsola,-24,-46,1,-40,-10,-23,4922
284,Corsola (Galarian Corsola),-29,-46,6,-40,-5,-28,5402
285,Remoraid,-54,-36,-59,-40,-70,7,14242
286,Octillery,-14,4,-19,0,-30,-13,1642
287,Delibird,-44,-46,-49,-40,-60,17,11942
288,Mantine,-4,-61,-24,-25,35,12,6307
289,Skarmory,-24,-21,46,-65,-35,12,8727
290,Houndour,-44,-41,-64,-25,-55,7,11412
291,Houndoom,-14,-11,-44,5,-25,37,4272
292,Houndoom (Mega Houndoom),-14,-11,-4,35,-15,57,5032
293,Kingdra,-14,-6,1,-10,-10,27,1162
294,Phanpy,1,-41,-34,-65,-65,-18,11612
295,Donphan,1,19,26,-45,-45,-8,5152
296,Porygon2,-4,-21,-4,0,-10,2,577
297,Stantler,-16,-6,-32,-20,-40,27,4045
298,Smeargle,-34,-81,-59,-85,-60,17,22312
299,Tyrogue,-54,-66,-59,-70,-70,-23,21082
300,Hitmontop,-39,-6,1,-70,5,12,6627
301,Smoochum,-44,-71,-79,-20,-40,7,15267
302,Elekid,-44,-38,-57,-40,-50,37,12098
303,Magby,-44,-26,-57,-35,-50,25,10211
304,Miltank,6,-21,11,-65,-35,42,7812
305,Blissey,166,-91,-84,-30,30,-3,44702
306,Raikou,1,-16,-19,10,-5,57,3992
307,Entei,26,14,-9,-15,-30,42,3842
308,Suicune,11,-26,21,-15,10,27,2292
309,Larvitar,-39,-37,-44,-60,-55,-17,11740
310,Pupitar,-19,-17,-24,-40,-35,-7,4100
311,Tyranitar,11,33,16,-10,-5,3,1600
312,Tyranitar (Mega Tyranitar),11,63,56,-10,15,13,7720
313,Lugia,17,-11,36,-15,49,52,7036
314,Ho-Oh,17,29,-4,5,49,32,4596
315,Celebi,11,-1,6,-5,-5,42,1972
316,Treecko,-49,-56,-59,-40,-50,12,13262
317,Grovyle,-39,-36,-49,-20,-40,37,8587
318,Sceptile,-19,-16,-29,0,-20,62,5702
319,Sceptile (Mega Sceptile),-19,9,-19,40,-20,87,10372
320,Torchic,-44,-41,-54,-35,-55,-13,10952
321,Combusken,-29,-16,-34,-20,-45,-3,4687
322,Blaziken,-9,19,-24,5,-35,22,2752
323,Blaziken (Mega Blaziken),-9,59,-14,25,-25,42,6772
324,Mudkip,-39,-31,-44,-55,-55,-18,10792
325,Marshtomp,-19,-16,-24,-45,-35,-8,4507
326,Swampert,11,9,-4,-20,-15,2,847
327,Swampert (Mega Swampert),11,49,16,-10,5,12,3047
328,Poochyena,-54,-46,-59,-75,-75,-23,20292
329,Mightyena,-19,-11,-24,-45,-45,12,5252
330,Zigzagoon,-51,-71,-53,-75,-64,2,20176
331,Zigzagoon (Galarian Zigzagoon),-51,-71,-53,-75,-64,2,20176
332,Linoone,-11,-31,-33,-55,-44,42,8896
333,Linoone (Galarian Linoone),-11,-31,-33,-55,-44,42,8896
334,Wurmple,-44,-56,-59,-85,-75,-38,22847
335,Silcoon,-39,-66,-39,-80,-80,-43,22047
336,Beautifly,-29,-31,-44,-5,-55,7,6837
337,Cascoon,-39,-66,-39,-80,-80,-43,22047
338,Dustox,-29,-51,-24,-55,-15,7,7317
339,Lotad,-49,-71,-64,-65,-55,-28,19572
340,Lombre,-29,-51,-44,-45,-35,-8,8692
341,Ludicolo,-9,-31,-24,-15,-5,12,2012
342,Seedot,-49,-61,-44,-75,-75,-28,20092
343,Nuzleaf,-19,-31,-54,-45,-65,2,10492
344,Shiftry,1,-1,-34,-15,-45,22,3892
345,Taillow,-49,-46,-64,-75,-75,27,20592
346,Swellow,-29,-16,-34,-30,-55,67,10667
347,Wingull,-49,-71,-64,-50,-75,27,20392
348,Pelipper,-29,-51,6,-10,-35,7,4852
349,Ralts,-61,-76,-69,-60,-70,-18,23082
350,Kirlia,-51,-66,-59,-40,-50,-8,14602
351,Gardevoir,-21,-36,-29,20,10,22,3562
352,Gardevoir (Mega Gardevoir),-21,-16,-29,60,30,42,7802
353,Surskit,-49,-71,-62,-55,-53,7,17169
354,Masquerain,-19,-41,-32,-5,-23,22,4104
355,Shroomish,-29,-61,-34,-65,-45,-23,12497
356,Breloom,-29,29,-14,-45,-45,12,6072
357,Slakoth,-29,-41,-34,-70,-70,-28,14262
358,Vigoroth,-9,-21,-14,-50,-50,32,6742
359,Slaking,61,59,6,-10,-40,42,10702
360,Nincada,-58,-56,-4,-75,-75,-18,18090
361,Ninjask,-28,-11,-49,-55,-55,102,19760
362,Shedinja,-88,-11,-49,-75,-75,-18,21840
363,Whismur,-25,-50,-71,-54,-82,-30,18706
364,Loudred,-5,-30,-51,-34,-62,-10,8626
365,Exploud,15,-10,-31,-14,-32,10,2606
366,Makuhita,-17,-41,-64,-85,-75,-33,20005
367,Hariyama,55,19,-34,-65,-45,-8,10856
368,Azurill,-39,-81,-54,-85,-65,-38,23892
369,Nosepass,-59,-56,41,-60,-15,-28,12907
370,Skitty,-39,-56,-49,-70,-70,-8,16922
371,Delcatty,-19,-36,-29,-50,-50,32,8522
372,Sableye,-39,-26,-19,-40,-40,-8,5822
373,Sableye (Mega Sableye),-39,-16,31,-20,10,-38,4682
374,Mawile,-39,-16,-9,-50,-50,-8,6922
375,Mawile (Mega Mawile),-39,4,31,-50,-10,-8,5162
376,Aron,-39,-31,6,-65,-65,-28,11752
377,Lairon,-29,-11,46,-55,-55,-18,9452
378,Aggron,-19,9,86,-45,-45,-8,11952
379,Aggron (Mega Aggron),-19,39,136,-45,-25,-8,23092
380,Meditite,-59,-61,-39,-65,-50,2,15452
381,Medicham,-29,-41,-19,-45,-30,22,6292
382,Medicham (Mega Medicham),-29,-1,-9,-25,-20,42,3712
383,Electrike,-49,-56,-54,-40,-65,7,14327
384,Manectric,-19,-26,-34,0,-45,47,6427
385,Manectric (Mega Manectric),-19,-26,-14,30,-25,77,8687
386,Plusle,-29,-51,-54,-20,-30,37,9027
387,Minun,-29,-61,-44,-30,-20,37,9167
388,Volbeat,-24,-28,-19,-58,-20,27,6214
389,Illumise,-24,-54,-19,-32,-20,27,6006
390,Roselia,-39,-41,-49,-5,-25,7,6302
391,Gulpin,-19,-58,-41,-62,-52,-18,12278
392,Swalot,11,-28,-11,-32,-22,-3,2543
393,Carvanha,-44,-11,-74,-40,-85,7,16407
394,Sharpedo,-19,19,-54,-10,-65,37,9332
395,Sharpedo (Mega Sharpedo),-19,39,-24,5,-40,47,6292
396,Wailmer,41,-31,-59,-35,-70,2,12252
397,Wailord,81,-11,-49,-15,-60,2,12912
398,Numel,-29,-41,-54,-40,-60,-23,11167
399,Camerupt,-19,-1,-24,0,-30,-18,2162
400,Camerupt (Mega Camerupt),-19,19,6,40,0,-38,3802
401,Torkoal,-19,-16,46,-20,-35,-38,5802
402,Spoink,-29,-76,-59,-35,-25,2,11952
403,Grumpig,-9,-56,-29,-15,5,22,4792
404,Spinda,-29,-41,-34,-45,-45,2,7732
405,Trapinch,-44,-1,-49,-60,-60,-48,13842
406,Vibrava,-39,-31,-44,-55,-55,12,10612
407,Flygon,-9,-1,-14,-25,-25,42,3292
408,Cacnea,-39,-16,-54,-20,-65,-23,9847
409,Cacturne,-19,14,-34,10,-45,-3,3847
410,Swablu,-44,-61,-34,-65,-30,-8,12002
411,Altaria,-14,-31,-4,-35,0,22,2882
412,Altaria (Mega Altaria),-14,9,16,5,0,22,1042
413,Zangoose,-16,14,-34,-45,-45,32,6682
414,Seviper,-16,-1,-34,-5,-45,7,3512
415,Lunatone,1,-46,-29,-10,-20,12,3602
416,Solrock,1,-6,-9,-50,-40,12,4362
417,Barboach,-39,-53,-51,-59,-64,2,14512
418,Whiscash,21,-23,-21,-29,-34,2,3412
419,Corphish,-46,-21,-29,-55,-70,-23,11852
420,Crawdaunt,-26,19,-9,-15,-50,-3,3852
421,Baltoy,-49,-61,-39,-65,-35,-3,13102
422,Claydol,-29,-31,11,-35,15,17,3662
423,Lileep,-23,-60,-17,-44,-18,-35,7903
424,Cradily,-3,-20,3,-24,2,-15,1223
425,Anorith,-44,-6,-44,-65,-55,17,11447
426,Armaldo,-14,24,6,-35,-25,-13,2827
427,Feebas,-69,-86,-74,-95,-50,22,29642
428,Milotic,6,-41,-15,-5,20,23,2896
429,Castform,-19,-31,-24,-35,-35,12,4492
430,Kecleon,-29,-11,-24,-45,15,-18,4112
431,Shuppet,-45,-26,-59,-42,-72,-13,13299
432,Banette,-25,14,-29,-22,-42,7,3959
433,Banette (Mega Banette),-25,64,-19,-12,-22,17,5999
434,Duskull,-69,-61,-4,-75,-15,-33,15437
435,Dusclops,-49,-31,36,-45,25,-33,8397
436,Tropius,10,-33,-11,-33,-18,-7,2772
437,Chimecho,-14,-51,-14,-10,-15,7,3367
438,Absol,-24,29,-34,-30,-45,17,5787
439,Absol (Mega Absol),-24,49,-34,10,-45,57,9507
440,Wynaut,6,-78,-46,-82,-57,-35,19434
441,Snorunt,-39,-51,-44,-55,-55,-8,12172
442,Glalie,-9,-21,-14,-25,-25,22,2452
443,Glalie (Mega Glalie),-9,19,-14,15,-25,42,3252
444,Spheal,-19,-61,-44,-50,-55,-33,12632
445,Sealeo,1,-41,-24,-30,-35,-13,4552
446,Walrein,21,-21,-4,-10,-15,7,1272
447,Clamperl,-54,-37,-9,-31,-50,-26,8503
448,Huntail,-34,3,11,-11,-30,-6,2343
449,Gorebyss,-34,-17,11,9,-30,-6,2583
450,Relicanth,11,-11,36,-60,-40,-3,6747
451,Luvdisc,-46,-71,-39,-65,-40,39,16024
452,Bagon,-44,-26,-34,-65,-75,-8,13682
453,Shelgon,-24,-6,6,-45,-55,-8,5762
454,Salamence,6,34,-14,5,-25,42,3802
455,Salamence (Mega Salamence),6,44,36,15,-15,62,7562
456,Beldum,-49,-46,-14,-70,-45,-28,12422
457,Metang,-29,-26,6,-50,-25,-8,4742
458,Metagross,-9,34,36,-10,-15,12,3002
459,Metagross (Mega Metagross),-9,44,56,0,5,52,7882
460,Regirock,-9,-1,106,-55,-5,-8,14432
461,Regice,-9,-51,6,-5,95,-8,11832
462,Registeel,-9,-26,56,-30,45,-8,6882
463,Latias,-9,-21,-4,5,25,52,3892
464,Latias (Mega Latias),-9,-1,26,35,45,52,6712
465,Latios,-9,-11,-14,25,5,52,3752
466,Latios (Mega Latios),-9,29,6,55,15,52,6912
467,Kyogre,11,-1,-4,45,35,32,4412
468,Kyogre (Primal Kyogre),11,49,-4,75,55,32,12212
469,Groudon,11,49,46,-5,-15,32,5912
470,Groudon (Primal Groudon),11,79,66,45,-15,32,13992
471,Rayquaza,16,49,-4,45,-15,37,6292
472,Rayquaza (Mega Rayquaza),16,79,6,75,-5,57,15432
473,Jirachi,11,-1,6,-5,-5,42,1972
474,Deoxys (Normal Forme),-39,49,-44,45,-55,92,19372
475,Deoxys (Attack Forme),-39,79,-74,75,-85,92,34552
476,Deoxys (Defense Forme),-39,-31,66,-35,55,32,12112
477,Deoxys (Speed Forme),-39,-6,-4,-10,-15,122,16782
